gene_symbol,Spearman_rho,p,p_fdr,p_spin,p_spin_fdr
RELN,-0.322259232523332,0.00736101260104746,0.302596158310641,0.0015,0.114344827586207
GRIK2,-0.321667510897541,0.00747617474888372,0.302596158310641,0.0005,0.114344827586207
SORCS3,-0.364901365169018,0.00221699415290403,0.302596158310641,0.0015,0.114344827586207
PLCXD3,-0.381794063195622,0.00131530610504942,0.272597190271492,0.0015,0.114344827586207
MAML3,0.339285545110598,0.00464857224433658,0.302596158310641,0.0015,0.114344827586207
DGKB,-0.327871044071152,0.00634383015895481,0.302596158310641,0.0025,0.114344827586207
RTN3,-0.311932735763566,0.0096105885752745,0.318687117156102,0.0015,0.114344827586207
PNMA2,-0.325446894184849,0.00676698116210845,0.302596158310641,0.004,0.114344827586207
CANX,-0.269901412538051,0.0260218104222804,0.366707466277636,0.0035,0.114344827586207
NETO1,-0.346328941236944,0.00381503012467731,0.302596158310641,0.004,0.114344827586207
CDH9,-0.316303840676665,0.00859415697288062,0.302596158310641,0.0035,0.114344827586207
KCNB2,-0.319109746450575,0.00799232508726235,0.302596158310641,0.0035,0.114344827586207
MORF4L2,-0.300270093397176,0.0128505227768984,0.332908855689024,0.003,0.114344827586207
DPP10,-0.320312277496537,0.00774589845200799,0.302596158310641,0.0015,0.114344827586207
PTPRO,-0.360186679957073,0.0025522619402184,0.302596158310641,0.004,0.114344827586207
NEDD4L,-0.27545596070273,0.022994115451299,0.366579263637055,0.003,0.114344827586207
TSHZ2,-0.462306379891908,7.21948957686956e-05,0.0299247842961243,0.0005,0.114344827586207
OPCML,-0.385917026781776,0.0011530330305713,0.272597190271492,0.0005,0.114344827586207
LAMP5,-0.315559416695831,0.00876032303915005,0.302596158310641,0.0015,0.114344827586207
MCTP1,-0.302827857844142,0.0120687904315701,0.332908855689024,0.002,0.114344827586207
GRIA2,-0.469120722485691,5.45367525795646e-05,0.0299247842961243,0.002,0.114344827586207
CACNB2,-0.334647211076174,0.00528188368440043,0.302596158310641,0.002,0.114344827586207
EYA4,0.283320131987432,0.0192221299888788,0.36047203982411,0.0035,0.114344827586207
ASTN2,0.341022534399209,0.00442928907234751,0.302596158310641,0.004,0.114344827586207
DSCAML1,0.335697039767093,0.00513223166443267,0.302596158310641,0.003,0.114344827586207
BEX2,-0.280552401802282,0.0204844643483612,0.36047203982411,0.004,0.114344827586207
BEX1,-0.317239142601301,0.00838929084419436,0.302596158310641,0.004,0.114344827586207
ASTN1,-0.283091078454868,0.0193240152765958,0.36047203982411,0.004,0.114344827586207
TRPC5,-0.322316495906473,0.00734995082514906,0.302596158310641,0.002,0.114344827586207
KAZN,0.291795112692304,0.0157615645442934,0.343850973874189,0.0045,0.120338709677419
PRICKLE2,-0.294104735812326,0.0149169455753614,0.343504107832628,0.0045,0.120338709677419
ITFG1,-0.292730414616941,0.0154147029539099,0.343850973874189,0.005,0.12953125
CHL1,-0.31716279142378,0.00840585315175364,0.302596158310641,0.0055,0.130271428571429
SHC3,-0.345260024751645,0.00393230263800911,0.302596158310641,0.0055,0.130271428571429
SLC4A10,-0.304622110515895,0.0115452984747306,0.330036290881091,0.0055,0.130271428571429
RAB6B,-0.277937373972175,0.0217413775527207,0.36047203982411,0.006,0.134432432432432
SH3PXD2A,0.295574495979612,0.0143999923737893,0.341074105082037,0.006,0.134432432432432
NECAB2,-0.248885750925293,0.0406933477420024,0.422026266123785,0.0125,0.138166666666667
CNTNAP2,-0.272325562424354,0.0246613967089924,0.366707466277636,0.01,0.138166666666667
IGF1,-0.244781875133519,0.0442390671415337,0.422026266123785,0.0065,0.138166666666667
SYNPR,-0.23315740835589,0.0556863306249317,0.429673606540757,0.007,0.138166666666667
