gene_symbol,Spearman_rho,p,p_fdr,p_spin,p_spin_fdr
PAXBP1-AS1,-0.217448153580868,0.0748700211494579,0.409244278500204,0.032,0.18772972972973
RASGRP3,0.225961309874501,0.0639079432765105,0.387943695869471,0.0335,0.18772972972973
NINJ2,0.213878736031744,0.0798911546109324,0.423282959517572,0.0335,0.18772972972973
PWWP2A,0.212275361303795,0.0822319706681363,0.428173364513399,0.034,0.18772972972973
KIZ,0.221017571129992,0.0701039628938193,0.396369257989227,0.0345,0.18772972972973
TP53TG5,0.225980397668881,0.0638849065110425,0.387943695869471,0.034,0.18772972972973
ZNF565,0.208190573306402,0.0884413710637932,0.450498783249694,0.0325,0.18772972972973
EDIL3,0.211969956593709,0.0826839397829178,0.428678966771522,0.035,0.189596412556054
NCAM2,-0.189579973785567,0.121523230162025,0.545796901712867,0.036,0.191577092511013
ZDHHC9,0.222105575409672,0.0687006033971764,0.393319094330754,0.036,0.191577092511013
TMEM87A,0.221151185690655,0.0699303924686232,0.396369257989227,0.036,0.191577092511013
SMIM6,0.207751554035654,0.0891301400634741,0.450498783249694,0.036,0.191577092511013
SIRT2,0.204563892374136,0.0942586029745903,0.470514018154153,0.0365,0.193385964912281
PSEN1,0.224147969408368,0.0661271869425094,0.390924172759324,0.037,0.19517903930131
SH3TC2,0.214279579713731,0.0793142973299821,0.422077846584222,0.0385,0.200465517241379
AIF1L,0.222830911596125,0.0677776263258593,0.391748194266211,0.0385,0.200465517241379
PCNA,0.226648470472193,0.063082831809494,0.387943695869471,0.0385,0.200465517241379
MAN2A1,0.194485536941315,0.112003648421549,0.524924481883816,0.0395,0.20391452991453
SOX2-OT,0.209259489791701,0.0867818929776109,0.446095858370017,0.0395,0.20391452991453
PHLDB1,0.236917703848818,0.0517455395581038,0.354481806746667,0.04,0.204745762711864
ZNF708,0.214642247806958,0.0787952348672723,0.421170989910022,0.04,0.204745762711864
ANKIB1,0.207923344185077,0.088860120702652,0.450498783249694,0.041,0.208978902953587
ANK3,-0.180532359249284,0.140685648884791,0.595079566623752,0.042,0.213176470588235
NR0B1,-0.212523502630739,0.0818661888462186,0.428114095784554,0.0425,0.214811715481172
WDPCP,0.204029434131487,0.0951406476806643,0.47296256130964,0.043,0.216246913580247
ZNF175,0.215405759582171,0.0777112987153856,0.418817312137626,0.0435,0.216246913580247
FLNC,0.226610294883433,0.0631284445106792,0.387943695869471,0.0435,0.216246913580247
FA2H,0.197806813163495,0.105892053843974,0.51439253103969,0.0435,0.216246913580247
SNX22,0.223193579689351,0.0673198892436842,0.391748194266211,0.044,0.21694693877551
KCNJ2,0.194619151501978,0.111752644173009,0.524924481883816,0.044,0.21694693877551
PEX16,0.199123870975739,0.103541315857945,0.506388297799179,0.045,0.220975609756098
TJP1,0.219948654644693,0.0715049931502426,0.396369257989227,0.046,0.224971659919028
RHOU,0.220559464064864,0.0707016852846004,0.396369257989227,0.0465,0.225590361445783
TMEM151A,0.178776282166293,0.144654525537818,0.595079566623752,0.0465,0.225590361445783
RNASE1,0.20087994805873,0.100470279888824,0.495379992268162,0.047,0.227104
CD22,0.213401541172235,0.0805822276343468,0.425080047957602,0.0475,0.228605577689243
TPTEP1,0.192156826026913,0.116448404075532,0.535035545269572,0.048,0.230095238095238
FMNL2,0.182651104425503,0.13600667946832,0.58055147985064,0.0485,0.230661417322835
PGM3,0.205766423420098,0.0922974241565452,0.462636051373886,0.0485,0.230661417322835
PPP1R8,0.184998903134285,0.130960054433227,0.575271802746683,0.049,0.23121875
SPPL3,-0.152931408575308,0.213108565932006,0.715097632349619,0.049,0.23121875
SLC24A2,0.17303085605781,0.158225769540327,0.630814289124474,0.05,0.235019455252918
TTYH2,0.213019785284628,0.0811384942787854,0.426153482994664,0.0505,0.236449612403101
SIK3,0.176733888167596,0.149375259913175,0.607559979714192,0.0515,0.239276923076923
RAPGEF5,0.191679631167405,0.117375703238726,0.535056035895777,0.0515,0.239276923076923
PEPD,0.179673408502169,0.142616601551284,0.595079566623752,0.052,0.240674329501916
CCDC88A,0.18696494595546,0.126844261950823,0.559225797213847,0.0525,0.241140684410646
AFMID,0.201185352768816,0.0999435038435227,0.494802264930227,0.0525,0.241140684410646
CTNNA3,0.194428273558174,0.112111354574524,0.524924481883816,0.0535,0.2416
SNX27,0.168239819668344,0.170244789385846,0.648586246255158,0.054,0.2416
PPA1,0.187136736104883,0.126489357099522,0.559225797213847,0.054,0.2416
SGPL1,0.189312744664242,0.122059030326758,0.545796901712867,0.053,0.2416
KIF6,0.197730461985974,0.106029586282188,0.51439253103969,0.053,0.2416
DMRT2,0.190744329242768,0.119209624464578,0.53934541705322,0.054,0.2416
ACVR1C,0.169556877480587,0.166876091504178,0.64536310117302,0.054,0.2416
KIF2A,-0.172439134432019,0.159675242358867,0.634498989373394,0.0545,0.242044117647059
FAM177A1,0.158237815413044,0.197464918925682,0.691864143547408,0.0545,0.242044117647059
NFYA,-0.190897031597811,0.118908719475425,0.53934541705322,0.056,0.247794871794872
FGF1,0.192137738232533,0.116485387753226,0.535035545269572,0.0565,0.248189090909091
MYOT,0.196642457706294,0.108004496293275,0.51979853196126,0.0565,0.248189090909091
ZZZ3,-0.174653318580139,0.154301377062194,0.621320211637099,0.057,0.249478260869565
MOG,0.192786723241465,0.115232991839274,0.535035545269572,0.0585,0.254201438848921
NIPAL3,0.177936419213558,0.146582055438402,0.598213253275642,0.0585,0.254201438848921
ZNF536,0.195898033725461,0.109372059767129,0.520163181884612,0.059,0.255455197132616
UNC5C,0.191698718961785,0.117338502870104,0.535056035895777,0.061,0.260381625441696
FIS1,0.161406389280181,0.188524814445209,0.679814853283024,0.061,0.260381625441696
AFG3L1P,0.178833545549434,0.144523797425884,0.595079566623752,0.0605,0.260381625441696
CFL2,0.155966367881783,0.20405766251742,0.696714975461134,0.061,0.260381625441696
CACNA2D1,-0.182803806780545,0.13567404778115,0.58055147985064,0.0635,0.267275261324042
NEK3,0.196069823874884,0.109055287099192,0.520163181884612,0.0635,0.267275261324042
FOLH1B,0.193588410605439,0.113700229546503,0.530308406533496,0.0635,0.267275261324042
ST3GAL6-AS1,0.166846410678579,0.173862694137053,0.658389136418683,0.063,0.267275261324042
PDE8A,0.16970957983563,0.166488707304148,0.64536310117302,0.066,0.270264406779661
