gene_symbol,Spearman_rho,p,p_fdr,p_spin,p_spin_fdr
CDYL2,-0.352742440148739,0.00317437101102105,0.368498959757397,0,0
MYLK2,0.352742440148739,0.00317437101102105,0.368498959757397,0,0
ROBO4,0.349115759216474,0.00352375301205838,0.368498959757397,0.001,0.156625
CRIM1,-0.351711699252201,0.00327038730708783,0.368498959757397,0.001,0.156625
IFNGR1,0.312868037688203,0.00938470304045833,0.371506972292993,0.001,0.156625
GABRE,-0.394983729112439,0.000857965349635704,0.368498959757397,0.001,0.156625
LMNA,0.340621690717222,0.00447906335264326,0.368498959757397,0.001,0.156625
TAP1,0.367879061092351,0.00202612253116638,0.368498959757397,0.0005,0.156625
TUBB,-0.35220798190609,0.00322383926398917,0.368498959757397,0.0015,0.208833333333333
HLA-B,0.33884652583985,0.00470549350049349,0.368498959757397,0.005,0.218546511627907
NEAT1,0.281182299016833,0.0201911319262319,0.385941237323162,0.0105,0.218546511627907
MYRIP,-0.247015147076019,0.0422792032455676,0.491417573295381,0.014,0.218546511627907
VWF,0.265663922185614,0.0285521261684268,0.445724379058665,0.0135,0.218546511627907
IFI27,0.296681588053672,0.014020861858551,0.371506972292993,0.0125,0.218546511627907
KLF2,0.288588363236406,0.017002196633791,0.371506972292993,0.012,0.218546511627907
PODXL,0.279750714438308,0.0208630413195892,0.385941237323162,0.005,0.218546511627907
SRGN,0.316971913479977,0.00844738397670789,0.371506972292993,0.0065,0.218546511627907
MFSD2A,0.290306264730637,0.0163275457289038,0.371506972292993,0.0065,0.218546511627907
SLC38A5,0.307408928495425,0.0107712496364928,0.371506972292993,0.014,0.218546511627907
HLA-A,0.287214042041022,0.017558992362234,0.371506972292993,0.0115,0.218546511627907
ELOVL7,0.288378397498223,0.0170862702187112,0.371506972292993,0.009,0.218546511627907
TCN2,0.307428016289805,0.0107661073123177,0.371506972292993,0.0135,0.218546511627907
GIMAP7,0.292806765794462,0.0153866797722785,0.371506972292993,0.012,0.218546511627907
NOSTRIN,0.254707528211298,0.0360698938950588,0.475698263526293,0.012,0.218546511627907
HYAL2,0.262380821552195,0.0306521300897469,0.457227607172058,0.0145,0.218546511627907
FOXC1,0.294982774353821,0.0146062296447869,0.371506972292993,0.0145,0.218546511627907
GALNT15,0.238368376221724,0.0502875173780106,0.512278530688189,0.01,0.218546511627907
MYL12A,0.291489707982219,0.0158762685177615,0.371506972292993,0.0105,0.218546511627907
TNS1,0.310233922063715,0.010033001634667,0.371506972292993,0.0055,0.218546511627907
ANXA5,0.290783459590146,0.0161442714277959,0.371506972292993,0.009,0.218546511627907
SERPINB6,0.289619104132945,0.0165945968167981,0.371506972292993,0.014,0.218546511627907
FKBP1A,-0.258677789442409,0.0331747373856902,0.463478833981824,0.008,0.218546511627907
SEC14L1,0.285896984228778,0.0181071692914656,0.371506972292993,0.0055,0.218546511627907
ACTN4,0.249725613878028,0.0399975273182848,0.488676704813316,0.0135,0.218546511627907
BMPR2,-0.33940007187688,0.00463382375635278,0.368498959757397,0.0055,0.218546511627907
