gene_symbol,Spearman_rho,p,p_fdr,p_spin,p_spin_fdr
ERBB3,0.306110958477561,0.0111259700755102,0.181283809221366,0.0055,0.0757741935483871
SPP1,0.29712060732442,0.0138729180714716,0.183298734155877,0.006,0.0757741935483871
CDK18,0.316475630826088,0.00855620420006697,0.176302839175064,0.004,0.0757741935483871
LDB3,0.292195956374291,0.0156120968430264,0.183298734155877,0.0055,0.0757741935483871
NT5DC1,0.272230123452452,0.0247137947222086,0.194620998559687,0.006,0.0757741935483871
SEMA6A,0.310577502362562,0.00994628987623895,0.176889771766958,0.0045,0.0757741935483871
ALAD,0.345069146807842,0.00395357745408554,0.174456422120992,0.004,0.0757741935483871
PCBP4,0.313593373874656,0.00921272578833945,0.176889771766958,0.005,0.0757741935483871
NDE1,0.35446034164297,0.00301991153270748,0.168899337864997,0.0035,0.0757741935483871
HPN,0.327317498034123,0.00643834938072853,0.174456422120992,0.0045,0.0757741935483871
APIP,0.29878124543551,0.0133254188693887,0.183298734155877,0.005,0.0757741935483871
IP6K3,0.292978555943885,0.0153237877505475,0.183298734155877,0.0045,0.0757741935483871
CPOX,0.28545796495803,0.0182931191658906,0.183298734155877,0.006,0.0757741935483871
PLEKHH2,0.294505579494313,0.0147743982481257,0.183298734155877,0.0055,0.0757741935483871
SPSB1,0.282270303296513,0.0196928989830106,0.188043169557284,0.006,0.0757741935483871
LINC01105,0.307981562326835,0.0106179045632784,0.176889771766958,0.006,0.0757741935483871
TARSL2,0.290287176936257,0.0163349136974212,0.183298734155877,0.005,0.0757741935483871
PNPT1,0.319224273216857,0.00796856401223001,0.176302839175064,0.0045,0.0757741935483871
GJC2,0.333788260329059,0.00540717692353325,0.174456422120992,0.005,0.0757741935483871
ST18,0.27156205064914,0.0250832253639089,0.194620998559687,0.007,0.0794347826086957
TMEM144,0.284446311855872,0.0187278400159261,0.183298734155877,0.007,0.0794347826086957
PLEKHH1,0.280056119148393,0.0207181248896881,0.188631299867741,0.0065,0.0794347826086957
SHROOM4,0.329550769976623,0.00606443928426612,0.174456422120992,0.007,0.0794347826086957
FAF1,0.323977134017562,0.00703543344086595,0.176302839175064,0.007,0.0794347826086957
WIPF1,0.319147922039336,0.00798439785126423,0.176302839175064,0.007,0.0794347826086957
VRK2,0.303610457413736,0.011837984062083,0.183298734155877,0.007,0.0794347826086957
CDR2L,0.277231125580102,0.0220918737303256,0.188752804806679,0.0075,0.0815625
AZGP1,0.303018735787946,0.0120121398454266,0.183298734155877,0.0075,0.0815625
