region,tval,pval,pval_adj
lh_bankssts_thickness,1.76076620440771,0.0798535910680479,0.193930149736688
lh_caudalanteriorcingulate_thickness,-0.938998132440434,0.348899316320147,0.539208034312954
lh_caudalmiddlefrontal_thickness,1.55836902131277,0.120775617941561,0.254140568893563
lh_cuneus_thickness,-0.103830020938704,0.917411500885147,0.931104209853582
lh_entorhinal_thickness,2.68055464816212,0.00798248922336246,0.0386823920482087
lh_fusiform_thickness,2.04399797928523,0.0423051176480877,0.119784689380915
lh_inferiorparietal_thickness,3.69482342142564,0.000286137132462116,0.00277961785820342
lh_inferiortemporal_thickness,1.48847703354549,0.138248862202659,0.268322401912502
lh_isthmuscingulate_thickness,-2.19215902884352,0.0295580565375714,0.0913612656615842
lh_lateraloccipital_thickness,0.667484533515486,0.50525589951232,0.64755561519402
lh_lateralorbitofrontal_thickness,0.717746878032373,0.473776766921706,0.64755561519402
lh_lingual_thickness,0.0267108928855349,0.978717781121408,0.978717781121408
lh_medialorbitofrontal_thickness,-1.32364547233993,0.187178477773033,0.330761864618587
lh_middletemporal_thickness,3.99246020246635,9.27158424323643e-05,0.0010507795475668
lh_parahippocampal_thickness,-0.408618340973569,0.683270456699136,0.772019963940841
lh_paracentral_thickness,-0.60416214526984,0.546441711358352,0.663536363792285
lh_parsopercularis_thickness,1.66988153672985,0.0965555080765987,0.21885915164029
lh_parsorbitalis_thickness,4.72171561019404,4.47426568358666e-06,0.000101416688827964
lh_parstriangularis_thickness,2.56507636693691,0.0110709514731159,0.0470515437607426
lh_pericalcarine_thickness,-0.772235019259343,0.440914969449827,0.624629540053922
lh_postcentral_thickness,2.02692632687949,0.0440384887429835,0.119784689380915
lh_posteriorcingulate_thickness,-1.47418355249129,0.142053036306619,0.268322401912502
lh_precentral_thickness,2.41776706672199,0.0165406406172457,0.0661625624689829
lh_precuneus_thickness,1.12976880502556,0.2599685896835,0.420901526154238
lh_rostralanteriorcingulate_thickness,-0.40917102847398,0.682865524125746,0.772019963940841
lh_rostralmiddlefrontal_thickness,3.09068954241721,0.00229062834381803,0.0173069697088473
lh_superiorfrontal_thickness,0.395990338751219,0.69254732059399,0.772019963940841
lh_superiorparietal_thickness,2.8760026561454,0.0044777637929211,0.0276807216289668
lh_superiortemporal_thickness,0.145848643167799,0.884192306550637,0.910986012809748
lh_supramarginal_thickness,3.53441799123325,0.000510918938935297,0.00434281098095003
lh_frontalpole_thickness,1.25408871705027,0.211318753622775,0.359241881158718
lh_temporalpole_thickness,0.163855897929848,0.870015166753979,0.910169712911855
lh_transversetemporal_thickness,0.403106632629609,0.687313678923935,0.772019963940841
lh_insula_thickness,2.39542475476044,0.0175520274006961,0.0663076590692965
rh_bankssts_thickness,2.79101915956321,0.00577928897014116,0.0327493041641332
rh_caudalanteriorcingulate_thickness,-1.21482094711709,0.225910904649026,0.374681500393506
rh_caudalmiddlefrontal_thickness,0.810336660640843,0.418739615328325,0.619006387876654
rh_cuneus_thickness,0.217137948461027,0.828329028821805,0.903382692833313
rh_entorhinal_thickness,0.671780027537386,0.502522935322519,0.64755561519402
rh_fusiform_thickness,1.51203775466668,0.132151510859101,0.264303021718203
rh_inferiorparietal_thickness,4.4155184513886,1.6718780153379e-05,0.000284219262607444
rh_inferiortemporal_thickness,1.82439556074772,0.0696306186487825,0.17536600252286
rh_isthmuscingulate_thickness,-2.65732015543985,0.00853288059886957,0.0386823920482087
rh_lateraloccipital_thickness,0.572234093474884,0.567825903587858,0.677406341122357
rh_lateralorbitofrontal_thickness,1.63022096859186,0.104677300846035,0.229614724436463
rh_lingual_thickness,0.662249626556881,0.508597192126786,0.64755561519402
rh_medialorbitofrontal_thickness,-1.35019096127483,0.17852783011942,0.328105201300555
rh_middletemporal_thickness,5.24747445265026,4.02257213249565e-07,2.73534905009704e-05
rh_parahippocampal_thickness,0.683678299757528,0.494994097768656,0.64755561519402
rh_paracentral_thickness,-0.60854699425318,0.543536607834674,0.663536363792285
rh_parsopercularis_thickness,0.851237107979743,0.39568713816398,0.597927231003348
rh_parsorbitalis_thickness,4.90643621457199,1.95906486725303e-06,6.66082054866029e-05
rh_parstriangularis_thickness,2.08773175123446,0.0381278864922418,0.112725925281411
rh_pericalcarine_thickness,-0.653457150214043,0.514235341477604,0.64755561519402
rh_postcentral_thickness,2.35877463021932,0.0193296808365338,0.0691799103623316
rh_posteriorcingulate_thickness,-1.31607544772474,0.189701657648895,0.330761864618587
rh_precentral_thickness,2.2176902947116,0.0277365522535277,0.0898135977733277
rh_precuneus_thickness,1.69496767580381,0.091686015682795,0.214987898842416
rh_rostralanteriorcingulate_thickness,0.189061148918309,0.850242534431353,0.903382692833313
rh_rostralmiddlefrontal_thickness,3.05281402084144,0.00258505005145018,0.0175783403498612
rh_superiorfrontal_thickness,-0.189496918030403,0.849901484607059,0.903382692833313
rh_superiorparietal_thickness,2.67701365332359,0.00806424595889954,0.0386823920482087
rh_superiortemporal_thickness,1.86002449275802,0.0643957909889061,0.168419761047908
rh_supramarginal_thickness,4.02326751605354,8.21998528285966e-05,0.0010507795475668
rh_frontalpole_thickness,1.08832210807996,0.277803108010171,0.439316542899806
rh_temporalpole_thickness,1.5476641306055,0.123332923139523,0.254140568893563
rh_transversetemporal_thickness,-0.772773144982581,0.440597127823645,0.624629540053922
rh_insula_thickness,2.31911065055211,0.0214303832312626,0.0728633029862927
