region,tval,pval,pval_adj
L_bankssts_localGI,0.78454363586083,0.433683079212987,0.55642357332987
L_caudalanteriorcingulate_localGI,-0.457176210092984,0.648058574215813,0.722425951584841
L_caudalmiddlefrontal_localGI,-0.621308725243954,0.535129647513634,0.649800286266556
L_cuneus_localGI,4.87843230483168,2.23142355557136e-06,1.16720616752963e-05
L_entorhinal_localGI,-0.83313247962554,0.40579984381498,0.542750275535131
L_fusiform_localGI,1.40980710499752,0.160206070756731,0.286684547669939
L_inferiorparietal_localGI,1.07388562491745,0.284214743830753,0.420143534358504
L_inferiortemporal_localGI,-0.234209312444616,0.81507074945033,0.839769863070037
L_isthmuscingulate_localGI,1.85129293037013,0.0656552974403583,0.139517507060761
L_lateraloccipital_localGI,2.40426828511094,0.0171502645729864,0.0431932589245584
L_lateralorbitofrontal_localGI,0.430302670530626,0.667455590729465,0.732048067251671
L_lingual_localGI,2.69097675906285,0.00774946118642234,0.0210785344270688
L_medialorbitofrontal_localGI,-0.355791437494409,0.722385343457705,0.779717513573396
L_middletemporal_localGI,4.53919681754256,9.92008339088234e-06,4.81832621842856e-05
L_parahippocampal_localGI,2.33569437135663,0.0205341861044609,0.0498687376822621
L_paracentral_localGI,3.1117058688669,0.0021424437782946,0.00662209895109239
L_parsopercularis_localGI,5.05787091793585,9.82838782215683e-07,6.07573065369695e-06
L_parsorbitalis_localGI,-0.123198679176725,0.902077971757019,0.915541822081751
L_parstriangularis_localGI,1.96495646166745,0.0508542967878985,0.111551360696035
L_pericalcarine_localGI,4.17806237789481,4.45154226638632e-05,0.000178061690655453
L_postcentral_localGI,1.65190880881752,0.100179158442979,0.189227299281182
L_posteriorcingulate_localGI,1.4441004685684,0.150332088596006,0.276286000662929
L_precentral_localGI,1.71740305454149,0.0875096037759936,0.170018658764788
L_precuneus_localGI,4.44799937188041,1.46185887800998e-05,6.62709358031189e-05
L_rostralanteriorcingulate_localGI,-0.492676955112725,0.622800886832773,0.717804411942857
L_rostralmiddlefrontal_localGI,-1.75124523392774,0.0814922799303923,0.162984559860785
L_superiorfrontal_localGI,0.894409189730451,0.372217019872258,0.526774599724898
L_superiorparietal_localGI,3.97889218885917,9.79087643944988e-05,0.000369877554379218
L_superiortemporal_localGI,6.54506898643126,5.23043259902919e-10,5.92782361223308e-09
L_supramarginal_localGI,0.88067781127036,0.37958757921353,0.526774599724898
L_frontalpole_localGI,1.18486480931546,0.237527867441727,0.35893099968972
L_temporalpole_localGI,-1.3139760509646,0.19041389347811,0.315808408695402
L_transversetemporal_localGI,7.81303386951914,3.50028885192003e-13,5.95049104826406e-12
L_insula_localGI,6.27152050256305,2.29469432377847e-09,2.22913162881338e-08
R_bankssts_localGI,1.28376612325285,0.200762906123814,0.325044705152842
R_caudalanteriorcingulate_localGI,0.302715429559005,0.762432749740835,0.810084796599637
R_caudalmiddlefrontal_localGI,-1.24974089759002,0.212907571052668,0.336691042594916
R_cuneus_localGI,3.35065696659007,0.000969776200502657,0.00314022769686575
R_entorhinal_localGI,-0.0551565020740356,0.956070837547643,0.956070837547643
R_fusiform_localGI,0.725146243996039,0.46924059732026,0.590895566995883
R_inferiorparietal_localGI,0.661836222655643,0.508865617945672,0.62914294582374
R_inferiortemporal_localGI,1.31680802988077,0.189464418813457,0.315808408695402
R_isthmuscingulate_localGI,0.264813611470371,0.791435650620261,0.827963449879658
R_lateraloccipital_localGI,4.3359993052813,2.33490477086756e-05,9.92334527618715e-05
R_lateralorbitofrontal_localGI,2.01552809731157,0.0452363133705204,0.102535643639846
R_lingual_localGI,1.77312238252648,0.0777856275350926,0.160285535526857
R_medialorbitofrontal_localGI,0.998999169260745,0.319045949932235,0.461598395646638
R_middletemporal_localGI,5.35924581306082,2.36787189633055e-07,1.61015288950478e-06
R_parahippocampal_localGI,0.459199216750534,0.646607878118278,0.722425951584841
R_paracentral_localGI,1.35415083433624,0.177271653907327,0.309089037582006
R_parsopercularis_localGI,7.66143866050183,8.69221348353163e-13,1.1821410337603e-11
R_parsorbitalis_localGI,4.91277441982645,1.91043962134322e-06,1.08258245209449e-05
R_parstriangularis_localGI,5.88385423684887,1.74350605015138e-08,1.48198014262868e-07
R_pericalcarine_localGI,3.08412684964608,0.00234091825028009,0.00692097569648026
R_postcentral_localGI,3.82530057292402,0.000176274369550131,0.000630876691021522
R_posteriorcingulate_localGI,0.83088960111731,0.407062706651348,0.542750275535131
R_precentral_localGI,3.01494891122465,0.00291574196966722,0.00826126891405713
R_precuneus_localGI,3.56651731647116,0.000456191146332995,0.00155104989753218
R_rostralanteriorcingulate_localGI,1.22575638486858,0.221783959421136,0.3427570281963
R_rostralmiddlefrontal_localGI,-0.509899671836405,0.610704346662898,0.715998199535811
R_superiorfrontal_localGI,0.788641997663494,0.431288923306888,0.55642357332987
R_superiorparietal_localGI,5.61849444895428,6.6568044699905e-08,5.02958559954837e-07
R_superiortemporal_localGI,7.97194651497904,1.33649077201806e-13,3.02937908324093e-12
R_supramarginal_localGI,2.58154586672645,0.0105772506559005,0.0276635786385089
R_frontalpole_localGI,2.16234722754756,0.0318217234756867,0.0746164550464377
R_temporalpole_localGI,-0.515288126021112,0.606941394390932,0.715998199535811
R_transversetemporal_localGI,9.44945973007395,1.1686327729587e-17,7.94670285611914e-16
R_insula_localGI,8.08373619303403,6.75187050896935e-14,2.29563597304958e-12
