;gene_symbol;Spearman_r;p;p_fdr;p_spin;p_spin_fdr
7;ADRA2A;0.260540933;0.03188463;0.291613062;0.008;0.154344828
45;CD47;0.265217309;0.02883048;0.282993924;0.008;0.154344828
76;CPLX3;-0.268691188;0.026724362;0.282993924;0.0095;0.154344828
81;CSDC2;0.378232903;0.001471736;0.060995275;0.0075;0.154344828
83;CSTF2;0.289209979;0.016755368;0.239335537;0.0065;0.154344828
85;CTGF;-0.226775592;0.062931138;0.323710108;0.012;0.154344828
94;DCT;-0.416770057;0.000407193;0.050627706;0.001;0.154344828
96;DDHD1;0.39434254;0.00087633;0.052793534;0.003;0.154344828
107;ELF2;0.339218569;0.004657217;0.125401491;0.0045;0.154344828
114;EPN2;-0.252867859;0.037481084;0.31067654;0.0075;0.154344828
124;FSTL1;0.353037736;0.00314733;0.106723098;0.0105;0.154344828
125;FYN;-0.292550248;0.015481004;0.239335537;0.0105;0.154344828
133;GABRD;0.276173389;0.022625781;0.272239237;0.008;0.154344828
163;GTF2B;0.39060144;0.000990763;0.052793534;0.005;0.154344828
169;HMGB2;0.359279266;0.002621757;0.097791536;0.0055;0.154344828
179;IGFBP5;-0.315130462;0.00885734;0.206486737;0.006;0.154344828
188;ITM2B;-0.324101468;0.007012367;0.174374203;0.0115;0.154344828
205;LOXL1;-0.290794221;0.016140159;0.239335537;0.005;0.154344828
216;MCFD2;-0.218300854;0.073708592;0.337050743;0.012;0.154344828
250;NPTX1;-0.428871372;0.000263239;0.050627706;0.0045;0.154344828
256;NXPH3;0.378862782;0.001442904;0.060995275;0.0075;0.154344828
258;OLIG1;-0.271993282;0.024844233;0.277095166;0.012;0.154344828
266;PDE1A;-0.256208128;0.034951829;0.296296189;0.0115;0.154344828
284;PRR13;-0.292302113;0.015572717;0.239335537;0.0115;0.154344828
297;RND2;0.342997844;0.004191091;0.125401491;0.002;0.154344828
307;SEMA4A;-0.403122674;0.000653291;0.052793534;0.0015;0.154344828
333;SYNE2;0.390906836;0.000980939;0.052793534;0.004;0.154344828
342;TIMP2;-0.300700502;0.012715992;0.239335537;0.01;0.154344828
364;ZHX1;0.423278808;0.00032269;0.050627706;0.0045;0.154344828
360;WNT4;-0.211830277;0.082891307;0.340462765;0.0125;0.155416667
115;ETFA;0.228493444;0.060909963;0.323710108;0.0135;0.157359375
203;LHX2;-0.161020023;0.189599052;0.456139711;0.0135;0.157359375
186;IQCH;-0.230631216;0.058468445;0.323710108;0.014;0.158242424
201;LGI3;0.213968048;0.079762337;0.340462765;0.0145;0.159073529
234;NCAM2;-0.271248879;0.025258004;0.277095166;0.015;0.159857143
20;ASCL1;0.311026704;0.009833906;0.209662544;0.021;0.164741667
23;ATP6AP2;-0.220075968;0.071336957;0.332608562;0.0235;0.164741667
28;BMP6;0.338836824;0.004706758;0.125401491;0.023;0.164741667
50;CDH4;-0.241472772;0.047280277;0.323591124;0.0195;0.164741667
52;CDH9;-0.24357237;0.045331392;0.319030365;0.0165;0.164741667
62;CITED2;0.286232369;0.017966207;0.239335537;0.0255;0.164741667
79;CRTAC1;0.247389819;0.041957538;0.313003236;0.0245;0.164741667
82;CSMD3;-0.206562196;0.091017323;0.348714862;0.0265;0.164741667
131;GABRA2;-0.191979539;0.116792255;0.378775774;0.016;0.164741667
135;GADD45A;0.257525148;0.033994509;0.296296189;0.0255;0.164741667
143;GMFB;-0.257124316;0.034283521;0.296296189;0.0255;0.164741667
