;gene_symbol;Spearman_r;p;p_fdr;p_spin;p_spin_fdr
147;GNG4;-0.222271001;0.068489219;0.327518957;0.0235;0.164741667
166;HECTD2;-0.26722147;0.027599008;0.282993924;0.023;0.164741667
181;IL6ST;0.273940181;0.023789088;0.277095166;0.0175;0.164741667
208;LRRC58;0.248554141;0.04097083;0.313003236;0.0185;0.164741667
219;MFAP3;0.188429311;0.12384318;0.383799935;0.0265;0.164741667
247;NNAT;-0.227004639;0.062658559;0.323710108;0.024;0.164741667
252;NR4A2;-0.249852074;0.039893615;0.313003236;0.02;0.164741667
280;PPM1M;-0.228512531;0.060887804;0.323710108;0.023;0.164741667
316;SFRP1;-0.309900556;0.010117764;0.209662544;0.026;0.164741667
319;SLC1A2;-0.168292264;0.170109705;0.434595342;0.0205;0.164741667
323;SORBS2;-0.206180451;0.091629656;0.348714862;0.024;0.164741667
331;SULF2;-0.287396691;0.017484105;0.239335537;0.0215;0.164741667
343;TLE1;-0.226985551;0.062681237;0.323710108;0.0195;0.164741667
369;ABCA8;-0.19890821;0.103923437;0.359611623;0.026;0.164741667
53;CDK2AP1;0.197056747;0.107249165;0.359611623;0.0315;0.165485915
110;ENTPD5;0.228703404;0.060666576;0.323710108;0.0305;0.165485915
132;GABRA5;-0.244698517;0.044313646;0.319030365;0.031;0.165485915
227;MOSPD2;-0.232177283;0.056752676;0.323710108;0.031;0.165485915
251;NR3C1;0.231490142;0.057510117;0.323710108;0.031;0.165485915
257;NXPH4;-0.276898704;0.022258502;0.272239237;0.029;0.165485915
265;PCSK5;-0.227959001;0.061533063;0.323710108;0.03;0.165485915
277;POU3F2;0.225458571;0.064517107;0.323710108;0.0295;0.165485915
287;PTPRG;-0.130537688;0.288675182;0.552183809;0.0295;0.165485915
351;TPPP;-0.168292264;0.170109705;0.434595342;0.0305;0.165485915
363;ZDHHC2;0.203336451;0.096293916;0.348714862;0.0315;0.165485915
329;STT3B;-0.13093852;0.287184328;0.552183809;0.0325;0.168368056
59;CHST11;-0.225363135;0.064633274;0.323710108;0.0385;0.173178571
99;DIP2A;0.235975645;0.052710746;0.323710108;0.0365;0.173178571
105;EGFR;0.298619992;0.013377752;0.239335537;0.036;0.173178571
157;GREM2;0.291405013;0.015908205;0.239335537;0.0375;0.173178571
165;H2AFZ;0.198163807;0.105250829;0.359611623;0.035;0.173178571
224;MMP9;-0.239029605;0.049634191;0.323710108;0.038;0.173178571
268;PDGFC;-0.211238572;0.083774315;0.340462765;0.039;0.173178571
312;SEMA6D;0.247695215;0.041696848;0.313003236;0.039;0.173178571
315;SESTD1;0.233417954;0.055405626;0.323710108;0.037;0.173178571
335;SYT10;-0.21139127;0.083545733;0.340462765;0.0345;0.173178571
349;TPBG;0.215819511;0.077128883;0.340462765;0.039;0.173178571
362;ZCCHC12;-0.208814491;0.087469738;0.348714862;0.037;0.173178571
104;EFNB3;-0.236452826;0.052220019;0.323710108;0.0395;0.173335294
359;USP46;-0.148307916;0.227434936;0.493216461;0.041;0.177825581
18;ARHGEF3;0.224561471;0.065615743;0.323710108;0.0415;0.177925287
67;CLIC5;-0.215456854;0.077639188;0.340462765;0.048;0.188346535
91;DACT1;-0.211104961;0.08397473;0.340462765;0.0455;0.188346535
120;FN1;0.151094654;0.218721763;0.486791648;0.0495;0.188346535
121;FNBP1;-0.136492909;0.26704823;0.53265343;0.0495;0.188346535
139;GDF10;-0.241014678;0.047714509;0.323591124;0.046;0.188346535
215;MARCH5;-0.26264053;0.03048142;0.291527426;0.051;0.188346535
243;NFYB;0.244278598;0.044690919;0.319030365;0.0485;0.188346535
246;NMBR;-0.287091295;0.017609474;0.239335537;0.0465;0.188346535
300;ROBO2;-0.173369472;0.157400692;0.422377397;0.0505;0.188346535
318;SIRPA;-0.223588021;0.066824875;0.323710108;0.047;0.188346535
324;SORCS3;-0.206600371;0.090956266;0.348714862;0.0445;0.188346535
339;TCF7L2;0.181576989;0.138363832;0.417985606;0.0495;0.188346535
348;TMEM40;-0.265980799;0.028356006;0.282993924;0.0465;0.188346535
365;ZIC1;0.231967323;0.056983251;0.323710108;0.05;0.188346535
8;AGPAT4;-0.115134279;0.349822574;0.600064384;0.0545;0.189922018
47;CDH11;-0.198259243;0.10507992;0.359611623;0.0545;0.189922018
191;KCNC4;0.260292799;0.032053983;0.291613062;0.0555;0.189922018
218;MEST;-0.176327996;0.150326957;0.422377397;0.052;0.189922018
245;NKX2-2;-0.181309767;0.138955;0.417985606;0.054;0.189922018
259;OMG;0.147506251;0.229985628;0.495864968;0.0535;0.189922018
334;SYT1;-0.145559352;0.236262718;0.506471229;0.055;0.189922018
337;TANK;0.247886088;0.041534598;0.313003236;0.053;0.189922018
33;CACNA2D3;0.215151458;0.078070998;0.340462765;0.057;0.19104878
37;CAMK2D;-0.193105686;0.114621269;0.375032748;0.0605;0.19104878
123;FOXQ1;0.206199538;0.091598963;0.348714862;0.0595;0.19104878
126;FZD1;-0.186596935;0.127607092;0.390142994;0.0605;0.19104878
134;GAD1;0.200282492;0.10150705;0.359611623;0.061;0.19104878
142;GJA1;-0.218014545;0.074096946;0.337050743;0.062;0.19104878
148;GOLPH3;0.196655915;0.107979897;0.359611623;0.0615;0.19104878
150;GPD1;-0.190757955;0.119182751;0.379958685;0.0585;0.19104878
151;GPM6B;-0.204844344;0.093798328;0.348714862;0.0625;0.19104878
155;GPSM2;0.199843485;0.102274152;0.359611623;0.0605;0.19104878
260;OSTF1;0.174686492;0.154221898;0.422377397;0.063;0.19104878
291;RCAN2;0.230306732;0.058833836;0.323710108;0.0605;0.19104878
304;SDK2;-0.168883969;0.168591052;0.434595342;0.0625;0.19104878
366;ZWINT;-0.214273444;0.079323102;0.340462765;0.062;0.19104878
27;BCL2L11;-0.108377393;0.379006186;0.617333219;0.065;0.193900794
55;CDKN2C;0.131950144;0.283444311;0.551195789;0.0655;0.193900794
278;POU3F3;0.28136512;0.020106669;0.258613357;0.065;0.193900794
14;APOE;-0.137829017;0.262349677;0.53265343;0.067;0.194977273
36;CALN1;-0.224046115;0.066253658;0.323710108;0.068;0.194977273
102;E2F5;-0.204462599;0.094425279;0.348714862;0.0685;0.194977273
128;FZD7;-0.168444962;0.169716839;0.434595342;0.0665;0.194977273
175;HS3ST1;0.229657766;0.059570174;0.323710108;0.069;0.194977273
292;RGS20;-0.148460614;0.226951333;0.493216461;0.068;0.194977273
156;GRB14;-0.188906492;0.12287703;0.383799935;0.071;0.199120301
153;GPR88;-0.164360291;0.180456579;0.446113562;0.072;0.20041791
9;ALCAM;-0.151819969;0.2164929;0.486456938;0.073;0.201696296
46;CDH10;-0.136817393;0.265901988;0.53265343;0.074;0.202955882
78;CRIM1;-0.109408105;0.374462289;0.617333219;0.077;0.209474638
293;RGS8;-0.203851807;0.095435221;0.348714862;0.0775;0.209474638
15;AQP4;-0.108434655;0.378752881;0.617333219;0.079;0.211992806
189;JUN;-0.188333874;0.124037104;0.383799935;0.08;0.213142857
185;INSIG2;0.19474719;0.111512522;0.368090008;0.081;0.214276596
84;CTBP2;-0.160600103;0.190771568;0.456139711;0.0845;0.220409091
194;KCNK2;-0.163864023;0.181794267;0.446113562;0.0845;0.220409091
38;CARHSP1;-0.122960051;0.317817418;0.567205249;0.089;0.223068627
49;CDH18;0.136092077;0.268468753;0.53265343;0.088;0.223068627
161;GSPT1;0.175488157;0.15231046;0.422377397;0.091;0.223068627
176;ID4;-0.105018038;0.394044456;0.63018228;0.0915;0.223068627
182;IMPACT;-0.197686626;0.106108611;0.359611623;0.0915;0.223068627
196;KIF13A;-0.173789392;0.15638194;0.422377397;0.091;0.223068627
237;NEDD4;-0.143307057;0.243670943;0.513498654;0.088;0.223068627
281;PPP1R1B;-0.188104827;0.124503464;0.383799935;0.089;0.223068627
325;SOX2;-0.109980722;0.371952186;0.616614069;0.0865;0.223068627
328;STAC2;0.179267432;0.14353614;0.419349672;0.0915;0.223068627
276;PNP;-0.132274628;0.282251542;0.551195789;0.0925;0.224042208
212;MAD2L1;0.174724667;0.154130475;0.422377397;0.0955;0.229816129
100;DLL1;0.17483919;0.153856448;0.422377397;0.097;0.231640127
263;PCDH17;-0.191464183;0.117796219;0.378775774;0.0975;0.231640127
299;RNF130;-0.124200722;0.312921398;0.567205249;0.099;0.232245283
322;SLITRK3;0.172739593;0.158938022;0.423456302;0.099;0.232245283
170;HMGCR;-0.178313069;0.145715263;0.419349672;0.1;0.233125
51;CDH7;0.174152049;0.155506047;0.422377397;0.103;0.237154321
197;KLHL24;0.150922869;0.219252002;0.486791648;0.103;0.237154321
231;MXD3;-0.114199004;0.353776831;0.602551407;0.1045;0.239131902
4;ADAM10;-0.170506385;0.164478038;0.432044423;0.1055;0.239948171
3;ACVR2A;-0.180622626;0.140483871;0.419203872;0.107;0.241884848
344;TMED10;-0.202210304;0.098191339;0.352167014;0.112;0.251662651
64;CLDN11;-0.162661526;0.185065365;0.448242734;0.116;0.25302924
98;DDR1;-0.078944857;0.522220372;0.710905835;0.1155;0.25302924
173;HPCAL1;-0.144853124;0.238568689;0.50849212;0.1145;0.25302924
264;PCP4;0.163940372;0.181588002;0.446113562;0.1155;0.25302924
332;SV2B;-0.21326182;0.080785467;0.340462765;0.1135;0.25302924
171;HMGN2;-0.149911245;0.222392813;0.49084331;0.12;0.259806358
317;SHB;0.163978546;0.181484933;0.446113562;0.1205;0.259806358
35;CADPS2;0.140176748;0.254229499;0.52390941;0.1225;0.2611
70;CNP;-0.098661984;0.423444624;0.663633801;0.122;0.2611
138;GAS5;0.112614762;0.360537538;0.604186747;0.1245;0.263855114
10;ANGPTL2;0.13739001;0.263887293;0.53265343;0.1255;0.264471751
22;ASPA;-0.102002252;0.407840629;0.641875759;0.128;0.264809392
57;CETN2;-0.151991755;0.215967359;0.486456938;0.1285;0.264809392
228;MOXD1;-0.178542116;0.14519003;0.419349672;0.1285;0.264809392
321;SLC8A1;0.15916856;0.194807963;0.461304389;0.127;0.264809392
238;NEDD4L;-0.14120746;0.250719104;0.52390941;0.131;0.268478022
327;SST;-0.129907809;0.291028232;0.552571203;0.1335;0.272106557
269;PDIA5;0.176404345;0.150147597;0.422377397;0.135;0.273668478
210;LRRTM1;-0.087305072;0.478981241;0.69755796;0.136;0.274205405
168;HIPK2;-0.163062358;0.183970306;0.448242734;0.1425;0.285235294
355;TSC22D1;0.178122197;0.146154041;0.419349672;0.143;0.285235294
13;APOD;-0.084060239;0.49553315;0.702889617;0.147;0.287963731
174;HRH3;-0.15250711;0.214396124;0.486456938;0.1475;0.287963731
230;MTF2;0.178809338;0.144579051;0.419349672;0.149;0.287963731
235;NCOR1;0.220324102;0.071010362;0.332608562;0.147;0.287963731
271;PHYHIPL;-0.15250711;0.214396124;0.486456938;0.149;0.287963731
305;SEC24D;-0.123475406;0.315777763;0.567205249;0.149;0.287963731
141;GFAP;-0.096867783;0.431965154;0.666781458;0.151;0.288835897
207;LRCH2;-0.127770037;0.29910807;0.556548358;0.151;0.288835897
204;LMBRD1;0.12941154;0.292891001;0.552571203;0.153;0.289169192
206;LPAR1;-0.112175756;0.362424912;0.604186747;0.1535;0.289169192
350;TPD52L1;0.081979729;0.5063007;0.70466478;0.1525;0.289169192
127;FZD2;-0.067091676;0.586711217;0.746905406;0.159;0.295987562
149;GPC6;-0.136912829;0.265565489;0.53265343;0.1595;0.295987562
221;MFSD1;0.086980588;0.480623045;0.69755796;0.1585;0.295987562
306;SEMA3A;-0.117672883;0.339228421;0.588521866;0.1655;0.305601485
239;NEUROD1;-0.090339944;0.463771411;0.691946945;0.1665;0.305933498
164;H1F0;0.067778817;0.582876179;0.744564435;0.1675;0.306262255
58;CHRNA4;-0.1589586;0.195405076;0.461304389;0.172;0.309932367
283;PPP3CB;-0.129297017;0.293321979;0.552571203;0.1705;0.309932367
354;TRPS1;-0.127655514;0.299545006;0.556548358;0.1715;0.309932367
73;COL12A1;-0.120173312;0.328992414;0.578565334;0.173;0.310235577
232;MXI1;0.104349984;0.397076527;0.630253381;0.1765;0.313497619
361;YAP1;-0.057738925;0.640005901;0.788126532;0.1765;0.313497619
63;CKS2;-0.20549331;0.092740003;0.348714862;0.178;0.313970183
87;CTSS;0.120249661;0.328682974;0.578565334;0.1825;0.313970183
117;FAIM2;0.08287683;0.501643118;0.703431891;0.1805;0.313970183
118;FEM1B;0.166536237;0.174675621;0.443224534;0.179;0.313970183
184;INPP5A;0.055792025;0.651344327;0.793958934;0.1835;0.313970183
223;MMP16;-0.114924319;0.35070787;0.600064384;0.1805;0.313970183
240;NFASC;-0.20396633;0.095245216;0.348714862;0.183;0.313970183
294;RHOA;-0.022293905;0.856795949;0.93173437;0.1835;0.313970183
301;ROCK1;0.108377393;0.379006186;0.617333219;0.1855;0.315942922
353;TRIB2;0.015995114;0.896992136;0.964201921;0.187;0.31705
69;CNBP;0.083563971;0.498090658;0.702889617;0.188;0.317303167
177;IGF1R;0.165486439;0.177447584;0.446113562;0.1895;0.318394144
273;PLEKHA5;0.1523735;0.214802706;0.486456938;0.1905;0.318639013
145;GNG11;0.153442385;0.211565228;0.486456938;0.193;0.319360619
154;GPRC5B;-0.131873795;0.283725447;0.551195789;0.193;0.319360619
345;TMEFF2;-0.143784238;0.242088246;0.513062022;0.1935;0.319360619
112;EPHA3;-0.094577313;0.442982135;0.67147265;0.1955;0.321240088
159;GSG1L;-0.123952587;0.313896699;0.567205249;0.1975;0.32310307
89;CUX1;0.148307916;0.227434936;0.493216461;0.199;0.324135371
192;KCNIP3;0.086465233;0.48323676;0.69863299;0.2005;0.325158696
16;ARHGAP26;0.119829742;0.330387175;0.578565334;0.208;0.331731915
30;BTG2;-0.137523621;0.263418681;0.53265343;0.2085;0.331731915
56;CDS2;-0.0794793;0.519398786;0.710905835;0.209;0.331731915
209;LRRFIP1;0.130881258;0.287396995;0.552183809;0.2085;0.331731915
336;SYT13;0.10236491;0.406166877;0.641875759;0.206;0.331731915
95;DDAH1;-0.094233743;0.444648109;0.67147265;0.211;0.332080169
172;HOMER2;-0.039434254;0.749515282;0.86553932;0.2105;0.332080169
144;GNAL;-0.061842683;0.616375988;0.771504173;0.212;0.332252101
113;EPHA5;-0.057338093;0.642333688;0.788126532;0.214;0.332591667
146;GNG12;-0.083315837;0.49937198;0.702889617;0.214;0.332591667
111;EPHA1;0.08911836;0.469861785;0.695470023;0.216;0.334307054
86;CTNNB1;-0.074592965;0.545479046;0.729260517;0.2175;0.335237603
222;MLLT3;0.170697257;0.163999051;0.432044423;0.219;0.336160494
90;CUX2;0.096734172;0.43260352;0.666781458;0.2215;0.338604508
272;PLCXD1;0.077093394;0.532054316;0.719044419;0.224;0.341028571
61;CIDEA;0.09501632;0.440858474;0.671184534;0.2265;0.343432927
347;TMEM163;0.069439408;0.573655673;0.742963771;0.231;0.348838057
285;PSIP1;-0.040980321;0.740035295;0.86260364;0.233;0.350439516
21;ASF1A;0.153556909;0.211220411;0.486456938;0.2355;0.352777108
24;AURKA;0.020289744;0.869551329;0.940123611;0.2375;0.353909449
32;CABP7;-0.079574736;0.518895741;0.710905835;0.241;0.353909449
92;DBI;-0.0529862;0.667823988;0.803543056;0.2395;0.353909449
211;LSM14A;-0.063026092;0.609631919;0.771504173;0.239;0.353909449
229;MPI;-0.078314978;0.525555667;0.712844595;0.241;0.353909449
65;CLDND1;-0.083945716;0.496122735;0.702889617;0.245;0.358372549
320;SLC6A1;0.01456357;0.906167524;0.968482769;0.2515;0.36501751
352;TRH;-0.097249528;0.430144193;0.666781458;0.251;0.36501751
103;EFHD2;-0.087400508;0.478498928;0.69755796;0.26;0.369454373
116;ETV5;0.084098414;0.495336702;0.702889617;0.2595;0.369454373
178;IGFBP3;0.068542307;0.578628479;0.744564435;0.2605;0.369454373
198;KPNA1;0.081101716;0.510880607;0.707979642;0.2595;0.369454373
199;KPNA2;-0.084079327;0.495434921;0.702889617;0.26;0.369454373
270;PEG3;0.092592239;0.452655784;0.678074728;0.26;0.369454373
108;EMP2;0.08079632;0.512478561;0.707979642;0.262;0.370174242
29;BNIP3L;0.116088641;0.345815988;0.597172979;0.267;0.375095506
122;FOXN2;-0.039720563;0.747756889;0.86553932;0.2675;0.375095506
253;NRP1;0.1258804;0.30637069;0.562937278;0.2685;0.375095506
66;CLIC1;0.117825581;0.338597659;0.588521866;0.2715;0.377871269
314;SERPINI1;-0.023420053;0.849644427;0.931152189;0.275;0.379907407
368;C8orf46;-0.083716669;0.497303002;0.702889617;0.2745;0.379907407
54;CDK4;0.140214923;0.254098892;0.52390941;0.281;0.382529197
255;NTRK2;0.047889905;0.698155647;0.834654027;0.281;0.382529197
302;S100B;-0.014945315;0.903719506;0.968482769;0.28;0.382529197
341;TIMELESS;0.025099731;0.839000344;0.928279217;0.2795;0.382529197
225;MOBP;-0.012998416;0.916213261;0.969289283;0.284;0.385207273
193;KCNIP4;-0.069668455;0.572389199;0.742963771;0.2885;0.38848556
249;NOTCH2;-0.002309557;0.985086794;0.993073984;0.288;0.38848556
11;ANLN;-0.088144911;0.474745797;0.69755796;0.294;0.389359649
74;COL19A1;0.113034682;0.358737875;0.604186747;0.2975;0.389359649
109;ENPP2;-0.105399783;0.392318009;0.63018228;0.2905;0.389359649
241;NFE2L2;0.152946117;0.213064031;0.486456938;0.295;0.389359649
242;NFE2L3;0.112080319;0.362836009;0.604186747;0.2935;0.389359649
282;PPP2R1B;0.089194709;0.469479876;0.695470023;0.2965;0.389359649
296;RNASEL;0.122960051;0.317817418;0.567205249;0.2945;0.389359649
372;MEIS2;0.096085206;0.435711733;0.668808545;0.297;0.389359649
214;MAPK8;-0.095531675;0.438372771;0.670135425;0.299;0.389954545
5;ADAMTS1;-0.012845718;0.917194059;0.969289283;0.3015;0.390423875
97;DDIT4L;-0.03731557;0.7625664;0.869869093;0.3025;0.390423875
290;RAI14;0.0880113;0.475418271;0.69755796;0.3025;0.390423875
88;CTTNBP2;0.075470978;0.540746369;0.725533798;0.3075;0.394149485
202;LGMN;0.045332214;0.713561379;0.844947283;0.307;0.394149485
137;GAS1;0.060563837;0.623699653;0.77601164;0.3095;0.395354452
330;SULF1;0.036952912;0.764807115;0.869869093;0.313;0.398460751
279;PPFIBP1;0.140844802;0.251950453;0.52390941;0.315;0.399642857
42;CCKBR;-0.007463114;0.951835268;0.983475222;0.3285;0.41005298
80;CRYAB;-0.053444294;0.665122457;0.802882448;0.329;0.41005298
162;GSTA4;-0.112462064;0.361193331;0.604186747;0.332;0.41005298
200;LCP1;-0.05978126;0.628199352;0.778466306;0.3265;0.41005298
220;MFNG;0.007997557;0.948390678;0.983475222;0.3315;0.41005298
233;MYT1;-0.072817851;0.555108186;0.736578553;0.329;0.41005298
309;SEMA5A;-0.000897101;0.994206987;0.997781383;0.33;0.41005298
311;SEMA6A;0.104731729;0.395342235;0.63018228;0.3315;0.41005298
6;ADCY8;0.1210895;0.32529131;0.577779327;0.338;0.414717105
371;ATP6V0E2;-0.079192991;0.520909393;0.710905835;0.338;0.414717105
31;C1QA;-0.034433395;0.78042639;0.876032718;0.3405;0.416414754
1;ABCA2;-0.012826631;0.917316667;0.969289283;0.348;0.422814332
286;PSPH;0.126414842;0.304305134;0.561909975;0.347;0.422814332
43;CCND2;-0.082189689;0.505208639;0.70466478;0.3545;0.427923948
367;RBM25;0.05770075;0.640227446;0.788126532;0.354;0.427923948
261;OXR1;0.09820389;0.425610892;0.664237919;0.357;0.429551613
310;SEMA5B;-0.054646791;0.658051196;0.796925637;0.3675;0.440763666
34;CACNB2;-0.062186253;0.614414738;0.771504173;0.371;0.443535256
2;ABCD4;-0.135424023;0.270847541;0.534529804;0.3745;0.446055732
93;DCK;0.060487488;0.624138048;0.77601164;0.3755;0.446055732
44;CD164;0.127560077;0.299909437;0.556548358;0.3815;0.450070978
68;CLU;0.006107919;0.960573563;0.987035645;0.382;0.450070978
236;NDE1;-0.013418335;0.913516713;0.969289283;0.3825;0.450070978
254;NRXN1;0.042717261;0.729430838;0.852908158;0.386;0.452761006
60;CHST2;-0.093241206;0.449480486;0.67603315;0.3885;0.452845313
195;KCNT2;0.067950602;0.581919209;0.744564435;0.3875;0.452845313
48;CDH12;0.069954763;0.570807934;0.742963771;0.394;0.45358642
71;CNTN2;-0.034166174;0.78208819;0.876032718;0.392;0.45358642
288;PXN;-0.048787005;0.692780423;0.830890989;0.3915;0.45358642
308;SEMA4D;-0.022771087;0.853764205;0.931152189;0.393;0.45358642
12;APLP2;-0.075852723;0.538694958;0.725390683;0.401;0.455512121
26;BCL11A;0.042984482;0.727803805;0.852908158;0.403;0.455512121
40;CBX5;-0.011585959;0.925290207;0.97220633;0.3985;0.455512121
41;CCK;-0.044702334;0.71737319;0.846772785;0.4;0.455512121
77;CPOX;0.106869501;0.38571315;0.625526109;0.4015;0.455512121
275;PLXNA4;-0.054684965;0.657827196;0.796925637;0.403;0.455512121
140;GDI2;0.062186253;0.614414738;0.771504173;0.4065;0.45808006
226;MOG;-0.020824187;0.866146511;0.939164676;0.4135;0.464564759
72;COL11A1;0.004237369;0.972642264;0.993073984;0.4155;0.46457485
289;RAB26;0.002920349;0.981143448;0.993073984;0.416;0.46457485
346;TMEM132D;0.003931973;0.974613317;0.993073984;0.418;0.465414925
39;CBLB;0.072493367;0.556877083;0.736578553;0.4255;0.472355655
303;SCRG1;-0.007863946;0.94925174;0.983475222;0.433;0.479255193
248;NOTCH1;-0.070660992;0.566916196;0.742238907;0.4445;0.489081121
295;RHOBTB3;0.124200722;0.312921398;0.567205249;0.444;0.489081121
190;KCNAB1;0.029527972;0.811081035;0.903084257;0.4485;0.492030882
356;TUBA1A;-0.046687408;0.705383961;0.83901684;0.452;0.494416422
25;BBX;0.023248268;0.850734571;0.931152189;0.4705;0.513147661
262;PCDH11X;0.009505449;0.938677298;0.980746869;0.4725;0.513826531
101;DLX2;0.02475616;0.841175269;0.928279217;0.475;0.515043605
158;GRSF1;-0.023000134;0.852309715;0.931152189;0.478;0.516794203
358;UNC5C;0.00034357;0.997781383;0.997781383;0.4795;0.51691763
0;SLAIN1;-0.027714684;0.82248724;0.913058752;0.4825;0.518652738
160;GSN;0.056231032;0.648780615;0.793426785;0.4855;0.520377874
217;MCHR1;-0.074153958;0.547852891;0.729818315;0.4895;0.523161891
75;COL9A3;-0.017655704;0.886365602;0.95553286;0.4975;0.526743626
130;GABPB1;-0.000629879;0.995932548;0.997781383;0.4985;0.526743626
180;IGFBPL1;-0.034853315;0.777816972;0.876032718;0.4955;0.526743626
183;INPP4B;-0.031608482;0.798042162;0.891226726;0.4985;0.526743626
187;ITGAV;0.070622817;0.567126242;0.742238907;0.501;0.527889831
129;GABPA;0.105991487;0.389650892;0.629176548;0.5025;0.527978873
136;GALNT10;-0.003512054;0.97732376;0.993073984;0.5245;0.549051821
274;PLP1;0.006699624;0.956757621;0.985830367;0.5255;0.549051821
119;FGFR1;0.04369071;0.723509571;0.851321988;0.5345;0.556895251
213;MAPK6;-0.036303945;0.76882161;0.871642737;0.536;0.556902507
338;TCF12;0.071825314;0.560527358;0.738786941;0.54;0.5595
152;GPR37;0.035387757;0.774499436;0.875419059;0.5495;0.563086538
313;Sep 07;0.061995381;0.61550399;0.771504173;0.5495;0.563086538
326;SOX21;0.04653471;0.70630372;0.83901684;0.5465;0.563086538
340;THBS2;0.038804375;0.753388216;0.867326557;0.5455;0.563086538
298;RNF122;-0.036933825;0.764925101;0.869869093;0.556;0.568186301
370;ATP6V0E1;0.067797904;0.582769814;0.744564435;0.56;0.570710383
244;NGEF;-0.01192953;0.923081382;0.97220633;0.5875;0.597104905
167;HEY1;0.040598576;0.74237251;0.862632231;0.624;0.632478261
19;ARL6IP1;0.008589262;0.944578127;0.983475222;0.627;0.633796748
267;PDE1B;-0.004676376;0.969809164;0.993073984;0.645;0.65022973
17;ARHGDIB;-0.002691302;0.982622155;0.993073984;0.657;0.660541779
357;TXNRD1;0.010994255;0.929095605;0.97346253;0.6835;0.685337366
106;ELAVL1;0.038021798;0.758208491;0.869869093;0.697;0.697
