;gene_symbol;Spearman_r;p;p_fdr;p_spin;p_spin_fdr
234;NCAM2;-0.189579974;0.12152323;0.390226674;0.03;0.134819277
41;CCK;-0.20198704;0.098570953;0.390226674;0.031;0.137654762
171;HMGN2;-0.189312745;0.12205903;0.390226674;0.0315;0.138229412
13;APOD;0.238826483;0.049834141;0.299808621;0.032;0.138790698
57;CETN2;-0.183319177;0.134555947;0.390226674;0.034;0.144113636
218;MEST;-0.208744119;0.087578906;0.390226674;0.034;0.144113636
292;RGS20;-0.220139533;0.071253178;0.341800018;0.0345;0.144589888
132;GABRA5;-0.178356351;0.145615905;0.399219514;0.036;0.14756044
197;KLHL24;0.197596847;0.106270601;0.390226674;0.036;0.14756044
143;GMFB;-0.184998903;0.130960054;0.390226674;0.0365;0.147983696
279;PPFIBP1;-0.223059965;0.067488239;0.341800018;0.037;0.148397849
147;GNG4;-0.200460017;0.101198124;0.390226674;0.0375;0.148803191
360;WNT4;-0.187938423;0.124843115;0.390226674;0.0385;0.151163158
264;PCP4;0.201967952;0.098603461;0.390226674;0.039;0.15153125
43;CCND2;-0.221914697;0.068945162;0.341800018;0.04;0.152244898
193;KCNIP4;-0.203933995;0.095298833;0.390226674;0.04;0.152244898
46;CDH10;-0.175626796;0.151981692;0.399219514;0.0415;0.153262376
265;PCSK5;-0.174653319;0.154301377;0.399403625;0.0415;0.153262376
357;TXNRD1;-0.21756268;0.074713185;0.348350226;0.041;0.153262376
173;HPCAL1;-0.19272946;0.115343079;0.390226674;0.0425;0.155416667
333;SYNE2;0.200269139;0.101530316;0.390226674;0.045;0.162961165
12;APLP2;-0.19272946;0.115343079;0.390226674;0.046;0.163409524
362;ZCCHC12;-0.182479314;0.136381625;0.390226674;0.046;0.163409524
139;GDF10;-0.188072038;0.124570336;0.390226674;0.0465;0.163627358
70;CNP;0.220234972;0.071127537;0.341800018;0.047;0.163841121
137;GAS1;0.201853426;0.098798685;0.390226674;0.048;0.164256881
233;MYT1;-0.203991259;0.095203897;0.390226674;0.048;0.164256881
146;GNG12;-0.192271353;0.116226691;0.390226674;0.0485;0.164459091
162;GSTA4;-0.187652107;0.125429175;0.390226674;0.05;0.168018018
81;CSDC2;0.17152292;0.16193891;0.408962381;0.057;0.170088
91;DACT1;-0.172019203;0.160709837;0.408962381;0.052;0.170088
126;FZD1;-0.164784929;0.179317655;0.431519261;0.0535;0.170088
130;GABPB1;0.186048732;0.12874989;0.390226674;0.0565;0.170088
205;LOXL1;-0.174252475;0.155264144;0.399403625;0.0565;0.170088
226;MOG;0.192786723;0.115232992;0.390226674;0.0545;0.170088
251;NR3C1;0.185571537;0.129750974;0.390226674;0.055;0.170088
254;NRXN1;-0.222334629;0.068408053;0.341800018;0.0525;0.170088
255;NTRK2;-0.182212085;0.136966422;0.390226674;0.0525;0.170088
268;PDGFC;-0.181620364;0.138268054;0.390712001;0.052;0.170088
283;PPP3CB;-0.166674621;0.174312594;0.425934835;0.057;0.170088
334;SYT1;-0.190190783;0.120305294;0.390226674;0.055;0.170088
337;TANK;0.18952271;0.121637893;0.390226674;0.0535;0.170088
358;UNC5C;0.191698719;0.117338503;0.390226674;0.057;0.170088
106;ELAVL1;-0.204964736;0.093601283;0.390226674;0.0595;0.173386719
182;IMPACT;-0.184598059;0.131811477;0.390226674;0.0595;0.173386719
277;POU3F2;0.193053952;0.114720317;0.390226674;0.0595;0.173386719
158;GRSF1;-0.162513481;0.185471007;0.437742009;0.06;0.173488372
149;GPC6;-0.183510055;0.134143607;0.390226674;0.062;0.17519697
289;RAB26;-0.176504835;0.149911768;0.399219514;0.062;0.17519697
315;SESTD1;0.184483533;0.132055509;0.390226674;0.0615;0.17519697
336;SYT13;-0.190114432;0.120457023;0.390226674;0.0625;0.175281955
179;IGFBP5;-0.177344698;0.147951571;0.399219514;0.064;0.176900735
262;PCDH11X;0.190916119;0.118871147;0.390226674;0.0645;0.176900735
361;YAP1;-0.191336051;0.118046858;0.390226674;0.0645;0.176900735
76;CPLX3;-0.166712796;0.174212543;0.425934835;0.066;0.177175
124;FSTL1;0.149476518;0.223752141;0.47341619;0.0665;0.177175
181;IL6ST;0.18217391;0.137050119;0.390226674;0.0655;0.177175
