gene_symbol,Spearman_rho,p,p_fdr,p_spin,p_spin_fdr
CDH26,0.397770547091969,0.000782129003701417,0.309462375797861,0,0
MEIS2,0.334532684309892,0.00529844004093003,0.763453627395218,0.0005,0.148375
NBPF10,0.397961425035772,0.000777164204806431,0.309462375797861,0.0005,0.148375
NBPF11,0.403382358639789,0.000647561210121402,0.309462375797861,0.0005,0.148375
DPP10,-0.320312277496537,0.00774589845200799,0.766198455211124,0.0015,0.29675
PSD3,-0.345298200340406,0.00392805988399767,0.763453627395218,0.0015,0.29675
NCKAP5,0.370646791277501,0.00186206063368903,0.552566493047219,0.0025,0.329722222222222
GPD2,-0.323748080484998,0.00707810085304137,0.763791428414555,0.0025,0.329722222222222
WDR17,-0.335238932701965,0.00519706768772165,0.763453627395218,0.0025,0.329722222222222
GPM6A,-0.29324578506521,0.0152263951918696,0.783373735051732,0.003,0.3561
GPC5,-0.259651266955806,0.0324953256982819,0.783373735051732,0.017,0.359366972477064
PAMR1,-0.208534153605248,0.0879052640349173,0.863896783910395,0.029,0.359366972477064
NHSL1,-0.231210453329095,0.0578207625942692,0.82864733597748,0.026,0.359366972477064
RGS20,-0.220139532588496,0.071253178277434,0.852033387720382,0.032,0.359366972477064
CTNNA2,-0.261292817272516,0.0313760345798486,0.783373735051732,0.022,0.359366972477064
CPE,-0.256864448976276,0.0344719861610315,0.783373735051732,0.021,0.359366972477064
CACNB2,-0.334647211076174,0.00528188368440043,0.763453627395218,0.0055,0.359366972477064
GABRB1,-0.215978393413582,0.0769061596808811,0.852033387720382,0.0255,0.359366972477064
CTNND2,-0.230446941553882,0.0586757239895563,0.82864733597748,0.0325,0.359366972477064
DST,0.253543172754097,0.0369578173234178,0.783373735051732,0.0115,0.359366972477064
CADM1,-0.227450157836168,0.0621310976427934,0.82864733597748,0.0255,0.359366972477064
NEAT1,0.281182299016833,0.0201911319262319,0.783373735051732,0.008,0.359366972477064
ADCY2,-0.216360149301188,0.0763731009016267,0.852033387720382,0.0165,0.359366972477064
PCDH9,0.228099142845099,0.0613691767966286,0.82864733597748,0.0285,0.359366972477064
DOCK4,-0.240582560369844,0.0481271148079776,0.82864733597748,0.033,0.359366972477064
MKLN1,0.192786723241465,0.115232991839274,0.914230225895965,0.028,0.359366972477064
ZSWIM6,0.257589785162729,0.0339480944191527,0.783373735051732,0.0135,0.359366972477064
TRPM3,0.293894770074142,0.0149920845438262,0.783373735051732,0.01,0.359366972477064
ETNPPL,-0.222220102175954,0.0685542029311136,0.838905555455999,0.0295,0.359366972477064
CEP350,0.225197798099287,0.0648349237714269,0.834681738087529,0.0255,0.359366972477064
ID2,-0.327355673622883,0.00643179130071793,0.763453627395218,0.006,0.359366972477064
FOS,0.236383245606168,0.0522913411822453,0.82864733597748,0.031,0.359366972477064
KCNN3,-0.231935789515548,0.0570179466565852,0.82864733597748,0.0165,0.359366972477064
CRYAB,0.278471832214825,0.0214792903272783,0.783373735051732,0.008,0.359366972477064
DAAM2,0.267171857941662,0.0276289489876719,0.783373735051732,0.0195,0.359366972477064
SELENBP1,-0.232088491870591,0.0568500926191243,0.82864733597748,0.032,0.359366972477064
OAF,-0.231344067889758,0.0576721896730519,0.82864733597748,0.0175,0.359366972477064
GABRG1,-0.245010928666083,0.0440346693177219,0.82864733597748,0.0215,0.359366972477064
GABRA2,-0.229473464040484,0.059780644883795,0.82864733597748,0.0185,0.359366972477064
CACHD1,-0.295822637306557,0.0143142554016141,0.783373735051732,0.007,0.359366972477064
ACACB,0.251748920082344,0.0383616461595311,0.785090930885576,0.0195,0.359366972477064
WFS1,-0.261311905066896,0.0313632120944395,0.783373735051732,0.012,0.359366972477064
TPCN1,0.224739691034159,0.0653962945595116,0.834681738087529,0.0215,0.359366972477064
HGF,-0.189446359224905,0.121790905164804,0.920702334331329,0.033,0.359366972477064
CAPN2,0.226858436210377,0.0628324374719009,0.828690036434959,0.0235,0.359366972477064
SIRPA,-0.280724191951705,0.0204041067394183,0.783373735051732,0.008,0.359366972477064
ANKDD1A,-0.253562260548477,0.0369431159265675,0.783373735051732,0.016,0.359366972477064
SLC30A10,-0.211740903061145,0.083024205805121,0.856954193831988,0.0265,0.359366972477064
HOPX,-0.267763579567452,0.0272736256531961,0.783373735051732,0.011,0.359366972477064
TTC30A,-0.23983813638901,0.0488447909271889,0.82864733597748,0.023,0.359366972477064
CASC10,-0.230275151404458,0.0588694968753558,0.82864733597748,0.0215,0.359366972477064
RASSF4,0.231076838768433,0.0579696461822136,0.82864733597748,0.019,0.359366972477064
DPYSL3,-0.197005125799521,0.107343056681262,0.914230225895965,0.033,0.359366972477064
AASS,0.278929939279953,0.0212567878677855,0.783373735051732,0.0045,0.359366972477064
MUTYH,0.247301463991724,0.042033210528965,0.82864733597748,0.014,0.359366972477064
LINC01158,0.207503412708709,0.0895213076053823,0.863896783910395,0.023,0.359366972477064
ZNF717,0.215539374142834,0.0775228356139859,0.852033387720382,0.016,0.359366972477064
ORAI3,0.193397532661636,0.1140637422225,0.914230225895965,0.0305,0.359366972477064
DKK3,-0.276505789393649,0.0224568292832855,0.783373735051732,0.01,0.359366972477064
ATP6AP1L,0.290630757235103,0.0162027260435712,0.783373735051732,0.005,0.359366972477064
HSBP1L1,0.229378025068582,0.0598898719749044,0.82864733597748,0.0295,0.359366972477064
LANCL2,-0.278510007803585,0.0214606730934437,0.783373735051732,0.019,0.359366972477064
INTS3,-0.278643622364248,0.0213956208359275,0.783373735051732,0.0095,0.359366972477064
RANBP3L,-0.258009716639097,0.0336478399931758,0.783373735051732,0.019,0.359366972477064
LHX2,-0.268278950015721,0.0269672968398225,0.783373735051732,0.0165,0.359366972477064
PPP1R1B,-0.272344650218735,0.0246509283971741,0.783373735051732,0.012,0.359366972477064
SPON1,0.23367277880416,0.0551322000511655,0.82864733597748,0.03,0.359366972477064
AK4,-0.25371496290352,0.0368256798256396,0.783373735051732,0.018,0.359366972477064
FGF2,-0.256100937201063,0.0350307241318363,0.783373735051732,0.0125,0.359366972477064
RLBP1,-0.232642037907621,0.0562449860317426,0.82864733597748,0.032,0.359366972477064
VAV3,0.188701935244071,0.123290489560996,0.920702334331329,0.0315,0.359366972477064
NADK2,-0.230695082880826,0.0583967437070289,0.82864733597748,0.031,0.359366972477064
