gene_symbol,Spearman_rho,p,p_fdr,p_spin,p_spin_fdr
OPCML,-0.385917026781776,0.0011530330305713,0.132280651123274,0.0005,0.04475
NCKAP5,0.370646791277501,0.00186206063368903,0.132280651123274,0.0005,0.04475
BCAS1,0.333177450908888,0.00549786212303087,0.164019553337088,0.0015,0.067125
SORCS3,-0.364901365169018,0.00221699415290403,0.132280651123274,0.0015,0.067125
KAZN,0.291795112692304,0.0157615645442934,0.269553506158025,0.004,0.0820416666666667
CHL1,-0.31716279142378,0.00840585315175364,0.214949673451986,0.005,0.0820416666666667
ADGRL3,-0.284026380379504,0.0189108663594351,0.282087089861574,0.0035,0.0820416666666667
ASTN2,0.341022534399209,0.00442928907234751,0.164019553337088,0.0055,0.0820416666666667
LRRTM4,-0.305137480964164,0.0113986215624385,0.226705917741833,0.0055,0.0820416666666667
DSCAML1,0.335697039767093,0.00513223166443267,0.164019553337088,0.003,0.0820416666666667
TCF12,0.289695455310466,0.0165647406018898,0.269553506158025,0.0055,0.0820416666666667
MARCKS,-0.245984406179481,0.0431746492081888,0.430847049503741,0.005,0.0820416666666667
APBB2,0.310195746474955,0.0100426767554074,0.22470489240224,0.0095,0.130807692307692
SHISA9,-0.23647868457807,0.0521935331293305,0.444887734769055,0.0105,0.13425
COL11A1,-0.242281374069694,0.0465217208463587,0.437658207795877,0.0135,0.15103125
CTTNBP2,0.239780873005869,0.0489003584129471,0.437658207795877,0.013,0.15103125
CMYA5,0.252226114941853,0.0379840333579573,0.430847049503741,0.0145,0.152676470588235
SPATA6,0.245812616030058,0.0433254016260745,0.430847049503741,0.0165,0.164083333333333
ZSWIM6,0.257589785162729,0.0339480944191527,0.430847049503741,0.0175,0.164868421052632
ASIC4,-0.246614303394032,0.0426255909520174,0.430847049503741,0.019,0.17005
HIP1,0.271962894331128,0.0248610106473462,0.342316992759613,0.021,0.179
PDZD2,-0.223995267053326,0.0663168679075638,0.489801660166932,0.0245,0.199340909090909
NXPH1,-0.223289018661253,0.0671998461444596,0.489801660166932,0.031,0.216865384615385
PID1,-0.209068611847897,0.0870764131313984,0.55666706966144,0.0305,0.216865384615385
NCAM2,-0.189579973785567,0.121523230162025,0.621504519971501,0.0305,0.216865384615385
SNX22,0.223193579689351,0.0673198892436842,0.489801660166932,0.0315,0.216865384615385
RPL13,-0.1913933142517,0.1179347947564,0.620892007688105,0.0335,0.222092592592593
NRCAM,-0.19251949412014,0.115747425337455,0.620892007688105,0.038,0.229716666666667
GALNT13,-0.210328406277,0.085147073997273,0.55666706966144,0.0385,0.229716666666667
SLC24A3,-0.195478102249093,0.110149385058709,0.620892007688105,0.036,0.229716666666667
SOX2-OT,0.209259489791701,0.0867818929776109,0.55666706966144,0.047,0.252705882352941
NKAIN3,-0.17581767403734,0.151529909779432,0.705059910388619,0.0475,0.252705882352941
SCN1A,0.174939635495844,0.153616405056738,0.705059910388619,0.048,0.252705882352941
NRXN1,-0.222334628942236,0.0684080530959403,0.489801660166932,0.044,0.252705882352941
BRINP3,0.201299879535098,0.0997465185490582,0.615676786906256,0.051,0.256069444444444
ITPR2,0.193702937371721,0.113482550205086,0.620892007688105,0.0515,0.256069444444444
CA10,-0.15079357560471,0.219651677511275,0.802401026010577,0.071,0.314290697674419
NAV2,0.157054372161463,0.200880529850637,0.802401026010577,0.0655,0.314290697674419
GRIK1,-0.170473091610844,0.164561691152449,0.736413567907208,0.0745,0.314290697674419
KCNQ1OT1,0.165930196548322,0.176271974631887,0.769577645344091,0.075,0.314290697674419
CDH20,0.157111635544604,0.20071429485807,0.802401026010577,0.0715,0.314290697674419
GPC6,-0.183510055172618,0.134143606837221,0.666991822885073,0.068,0.314290697674419
LRP1,0.18028421792234,0.141241450847198,0.683303235179687,0.0755,0.314290697674419
CHD7,0.193149391334691,0.114537644361783,0.620892007688105,0.0815,0.331556818181818
TMBIM6,0.162837973858706,0.184582736768363,0.786674044798499,0.084,0.334133333333333
XYLT1,-0.143807442861504,0.242011461963893,0.828899200815956,0.0935,0.356095744680851
ZNF462,0.143826530655885,0.241948313388729,0.828899200815956,0.0925,0.356095744680851
CSMD3,-0.152797794014646,0.213513437357023,0.802401026010577,0.097,0.361729166666667
LUZP2,-0.135981447165564,0.268861709521154,0.869812105282619,0.1015,0.370785714285714
DSCAM,0.15188157988439,0.216304311943237,0.802401026010577,0.1045,0.37411
HTRA1,0.151156243697937,0.218531877023772,0.802401026010577,0.1095,0.384323529411765
PTPRZ1,-0.132831961092807,0.280210609500523,0.869812105282619,0.1275,0.407544642857143
NLGN4X,-0.129186192366162,0.293739432780312,0.869812105282619,0.126,0.407544642857143
FCHSD2,-0.125941267321503,0.306134986775447,0.869812105282619,0.124,0.407544642857143
KIF26B,-0.152988671958449,0.212935215475901,0.802401026010577,0.1205,0.407544642857143
ATRNL1,0.126342111003491,0.304585699668131,0.869812105282619,0.1215,0.407544642857143
SH3D19,0.127124710573085,0.301575583902351,0.869812105282619,0.13,0.408245614035088
AGAP1,-0.141402380769581,0.250058976782467,0.828899200815956,0.136,0.419724137931035
CASK,-0.124395155976696,0.312158530486452,0.873068389954295,0.1395,0.423228813559322
