gene_symbol,Spearman_rho,p,p_fdr,p_spin,p_spin_fdr
SH3D19,0.127124710573085,0.301575583902351,0.685159256116476,0.13,0.321578947368421
AGAP1,-0.141402380769581,0.250058976782467,0.652931772709776,0.136,0.330620689655172
CASK,-0.124395155976696,0.312158530486452,0.687724262477964,0.1395,0.333381355932203
SOX6,0.12855629515161,0.296119521134617,0.685159256116476,0.153,0.334340909090909
NTM,-0.133213716980414,0.278818302270003,0.685159256116476,0.1525,0.334340909090909
TNK2,0.144284637721013,0.240436145096838,0.652931772709776,0.1495,0.334340909090909
LSAMP,-0.121913742707251,0.321984343931231,0.698458346066209,0.1565,0.334340909090909
PDE4B,0.142700350787445,0.245693478310111,0.652931772709776,0.1445,0.334340909090909
DOCK10,0.127907310142679,0.29858488605448,0.685159256116476,0.145,0.334340909090909
SGK1,0.108189618547784,0.379837546263081,0.799359612284991,0.1565,0.334340909090909
WWOX,0.101527978309045,0.410035567769555,0.809730775939968,0.1645,0.346186567164179
XKR4,-0.102196051112357,0.406945702925071,0.809730775939968,0.168,0.348352941176471
NPAS3,-0.114927609964045,0.350693984288003,0.74920987552437,0.176,0.355478873239437
PDGFRA,-0.104830166736844,0.394895751780553,0.809730775939968,0.1775,0.355478873239437
CD81,-0.0991610918058821,0.421091599429643,0.809730775939968,0.179,0.355478873239437
PRKCA,0.100439974029365,0.415096691171371,0.809730775939968,0.1955,0.382854166666667
REV3L,0.0804168777243852,0.514467496572841,0.850068455253657,0.203,0.392095890410959
BCAN,-0.101031695655156,0.412339690316215,0.809730775939968,0.2105,0.394243421052632
PPP1R9A,0.0836808905634239,0.497487498641875,0.850068455253657,0.2125,0.394243421052632
SGCD,-0.0983403166475274,0.424965088081969,0.809730775939968,0.2095,0.394243421052632
LHFPL3,-0.0876893273832959,0.477040879686008,0.850068455253657,0.243,0.409224137931034
SEZ6L,-0.0815430575928255,0.508575833714173,0.850068455253657,0.249,0.409224137931034
OPHN1,0.0750150319147482,0.543201509891785,0.867790858954525,0.232,0.409224137931034
NLGN1,0.0821156914242358,0.505593384438378,0.850068455253657,0.2525,0.409224137931034
TAOK3,0.0644022182392774,0.601830165065083,0.867790858954525,0.2455,0.409224137931034
QKI,0.081962989069193,0.506387823532126,0.850068455253657,0.228,0.409224137931034
PEAK1,0.0845398413105393,0.493068057811072,0.850068455253657,0.2505,0.409224137931034
NFIA,0.0769810747359235,0.532653827916757,0.863266548692676,0.2235,0.409224137931034
OLIG2,0.0910487791942363,0.460257210932462,0.850068455253657,0.239,0.409224137931034
SDC3,0.0826883252556461,0.502619957853845,0.850068455253657,0.2425,0.409224137931034
CCDC50,0.06621555870541,0.591617459534297,0.867790858954525,0.238,0.409224137931034
PCDH15,-0.0689260255074187,0.576499029601266,0.867790858954525,0.2855,0.419328125
COL9A1,0.0671508606300468,0.586380450272826,0.867790858954525,0.275,0.419328125
MMP16,-0.0717128434869488,0.561143011235536,0.867790858954525,0.2805,0.419328125
OLIG1,0.0968132930970999,0.4322254306305,0.81258380958534,0.265,0.419328125
GRID2,-0.0615581368766063,0.618002330947063,0.867790858954525,0.2835,0.419328125
ABHD2,-0.0796533659491715,0.518481469161805,0.850068455253657,0.2775,0.419328125
SNTG1,-0.0673417385738503,0.585314258858588,0.867790858954525,0.2815,0.419328125
PHLPP1,0.080626843462569,0.513366428031158,0.850068455253657,0.283,0.419328125
SETD5,-0.061596312465367,0.617784029304819,0.867790858954525,0.2685,0.419328125
VCAN,-0.0474713446239131,0.700668655168341,0.92219438681507,0.3115,0.437658415841584
TMEM132C,-0.060928239662055,0.621609054995794,0.867790858954525,0.307,0.437658415841584
FHIT,0.0732971304205173,0.552500343385241,0.867790858954525,0.307,0.437658415841584
SOX5,-0.0653947835470553,0.596230419579763,0.867790858954525,0.3075,0.437658415841584
PSAP,-0.0618635415866918,0.616256842005325,0.867790858954525,0.3135,0.437658415841584
EPN2,0.0521669420414775,0.672665904156878,0.919496116622597,0.32,0.442352941176471
C1orf61,-0.0719037214307522,0.560098348078998,0.867790858954525,0.3255,0.445587378640777
NCAM1,-0.0549346722266273,0.656362708663674,0.907324920799784,0.3365,0.456216346153846
SMOC1,0.0275055117020743,0.823805413777965,0.92219438681507,0.38,0.463371794871795
KIF13A,-0.0402561583481435,0.744470923658046,0.92219438681507,0.3695,0.463371794871795
SCD5,0.0316475630826088,0.797797751262048,0.92219438681507,0.377,0.463371794871795
NAV1,-0.0298151348220958,0.809278209051123,0.92219438681507,0.3845,0.463371794871795
MAML2,0.0512316401168407,0.678209901622341,0.919496116622597,0.35,0.463371794871795
DPP6,-0.0292234131963052,0.812994149747249,0.92219438681507,0.3835,0.463371794871795
DCC,-0.0367058285933997,0.76633484622831,0.92219438681507,0.3815,0.463371794871795
MTSS1,0.0403515973200452,0.743885864994819,0.92219438681507,0.36,0.463371794871795
ALCAM,0.0299296615883779,0.808559477057351,0.92219438681507,0.379,0.463371794871795
KLF12,0.0455243895971182,0.712399780454623,0.92219438681507,0.358,0.463371794871795
COBL,-0.0385764324426733,0.754791264888316,0.92219438681507,0.3695,0.463371794871795
NAALADL2,0.0309222268961557,0.802337137319481,0.92219438681507,0.3735,0.463371794871795
CSPG5,0.0328500941285704,0.790286693413923,0.92219438681507,0.356,0.463371794871795
NOVA1,0.0283453746548094,0.818515692088178,0.92219438681507,0.3925,0.465063025210084
FERMT1,0.0269710534594247,0.827175692678613,0.92219438681507,0.3915,0.465063025210084
LRP1B,-0.0355605609305791,0.773427621484542,0.92219438681507,0.401,0.465414634146341
ZBTB20,0.025539468880899,0.836218399266911,0.92219438681507,0.406,0.465414634146341
FGF12,-0.0389200127415195,0.752676736350856,0.92219438681507,0.405,0.465414634146341
GRM7,0.0318002654376515,0.796842936238794,0.92219438681507,0.4,0.465414634146341
TNR,0.0268374388987623,0.828018751104924,0.92219438681507,0.4345,0.470896946564885
CHST11,0.0294142911401086,0.811795005437373,0.92219438681507,0.416,0.470896946564885
PLPPR1,0.0126552076741674,0.91841790111688,0.957015920575746,0.4375,0.470896946564885
ADARB2,0.021531032061027,0.861647094377881,0.934555694671394,0.423,0.470896946564885
KAT2B,0.0167018200828002,0.892467427573065,0.946149678855655,0.4275,0.470896946564885
DGKG,-0.0243560256293177,0.843709758149957,0.92219438681507,0.427,0.470896946564885
KCND2,0.0174271562692532,0.887826996678755,0.946149678855655,0.432,0.470896946564885
CSMD1,0.017026312587266,0.890390991127885,0.946149678855655,0.435,0.470896946564885
LRRC4C,0.0119298714877144,0.923079185803556,0.957015920575746,0.4505,0.473655555555556
ZEB1,-0.0326401283903866,0.791596798168251,0.92219438681507,0.446,0.473655555555556
ASAP1,-0.024871396077587,0.840445652857861,0.92219438681507,0.449,0.473655555555556
SERPINE2,-0.0317811776432712,0.79696227190226,0.92219438681507,0.4535,0.473655555555556
SEMA5A,0.00551637257591914,0.964389368343598,0.985354354611937,0.466,0.483132352941176
MEGF11,0.0146021627009624,0.905920000842541,0.953244179991032,0.4695,0.48320802919708
PDZRN4,0.00229053532564117,0.985209606542423,0.986072291215516,0.487,0.494007194244604
GPR17,0.0028822569514318,0.981389362497017,0.986072291215516,0.486,0.494007194244604
MDGA2,0.00639441111741492,0.958725843346397,0.985354354611937,0.4965,0.500046428571429
SLC35F1,0.00215692076497876,0.986072291215516,0.986072291215516,0.5115,0.5115
