gene_symbol,Spearman_rho,p,p_fdr,p_spin,p_spin_fdr
IFI16,0.0438828392804087,0.722342791374034,1.64559196421303,0.3445,0.793237124463519
TLR1,-0.0325446894184849,0.792192490740852,1.6966650281256,0.343,0.793237124463519
VSIG4,-0.0461733746060498,0.708481852217178,1.63836428325222,0.3435,0.793237124463519
ALOX5AP,0.0543238628064563,0.659947265973981,1.60845135739427,0.344,0.793237124463519
RHBDF2,-0.0338044838475875,0.784339018190303,1.69489114720225,0.3435,0.793237124463519
LIMS1,0.0495710020057509,0.688095225324181,1.62315939249027,0.3405,0.793237124463519
LY96,-0.0585231775701318,0.635461458463958,1.60845135739427,0.3415,0.793237124463519
HAUS8,0.0321438457364977,0.794695690355547,1.6966650281256,0.343,0.793237124463519
DNAJC10,0.0431956786827163,0.726518737744129,1.64673312290235,0.343,0.793237124463519
RAB32,-0.039397207601028,0.749742899658431,1.66779874860293,0.3515,0.795695147679325
CLPB,0.0447417900275241,0.717134215431453,1.64419874606399,0.3495,0.795695147679325
ARPC1B,0.0451426337095113,0.714707921111584,1.64214475236131,0.3485,0.795695147679325
ZCCHC8,0.0541711604514136,0.660844602244064,1.60845135739427,0.3515,0.795695147679325
BLNK,-0.0506208306966697,0.681839703085565,1.62220399425901,0.3475,0.795695147679325
HCK,0.0435201711871821,0.724545764887964,1.64673312290235,0.347,0.795695147679325
M6PR,-0.0495137386226099,0.688437040724189,1.62315939249027,0.3505,0.795695147679325
CHD1,-0.0492846850900457,0.689804923555978,1.62315939249027,0.35,0.795695147679325
MS4A4A,0.061596312465367,0.617784029304819,1.5969546926176,0.3535,0.798537894736842
CHST14,0.0573206465241702,0.642435081793035,1.60845135739427,0.3555,0.799688679245283
BACH1,0.0588285822802173,0.633695366719037,1.60845135739427,0.355,0.799688679245283
CSF2RA,0.0558508863568837,0.651000355904097,1.60845135739427,0.3585,0.800846153846154
CHCHD7,-0.0516324837988279,0.675831796989967,1.62220399425901,0.358,0.800846153846154
TLR4,-0.0550110234041487,0.655915179877641,1.60845135739427,0.3575,0.800846153846154
CCL22,0.0309794902792968,0.801978525548646,1.6966650281256,0.359,0.800846153846154
SIRPB1,-0.0451998970926523,0.714361536839991,1.64214475236131,0.36,0.801410788381743
MKNK1,-0.0270664924313264,0.826573627153558,1.70602674039948,0.3615,0.80253305785124
