gene_symbol,Spearman_rho,p,p_fdr,p_spin,p_spin_fdr
ASTN1,-0.283091078454868,0.0193240152765958,0.428305137788598,0.004,0.135862068965517
TRPC5,-0.322316495906473,0.00734995082514906,0.359538258065117,0.002,0.135862068965517
KAZN,0.291795112692304,0.0157615645442934,0.408556344108657,0.0045,0.142983870967742
PRICKLE2,-0.294104735812326,0.0149169455753614,0.408144205325861,0.0045,0.142983870967742
ITFG1,-0.292730414616941,0.0154147029539099,0.408556344108657,0.005,0.15390625
CHL1,-0.31716279142378,0.00840585315175364,0.359538258065117,0.0055,0.154785714285714
SHC3,-0.345260024751645,0.00393230263800911,0.359538258065117,0.0055,0.154785714285714
SLC4A10,-0.304622110515895,0.0115452984747306,0.392142034400331,0.0055,0.154785714285714
RAB6B,-0.277937373972175,0.0217413775527207,0.428305137788598,0.006,0.15972972972973
SH3PXD2A,0.295574495979612,0.0143999923737893,0.405256928233783,0.006,0.15972972972973
NECAB2,-0.248885750925293,0.0406933477420024,0.50144254780691,0.0125,0.164166666666667
CNTNAP2,-0.272325562424354,0.0246613967089924,0.435713937615768,0.01,0.164166666666667
IGF1,-0.244781875133519,0.0442390671415337,0.50144254780691,0.0065,0.164166666666667
SYNPR,-0.23315740835589,0.0556863306249317,0.51052895348932,0.007,0.164166666666667
KCNT2,-0.258906842974973,0.0330138166049173,0.492706202361265,0.0115,0.164166666666667
KCNAB1,-0.306664504514591,0.0109734712810314,0.392142034400331,0.0105,0.164166666666667
ARNT2,-0.305347446702348,0.0113393292325838,0.392142034400331,0.007,0.164166666666667
FOXG1,-0.288130256171278,0.0171860891122628,0.428305137788598,0.0095,0.164166666666667
HS3ST5,0.254802967183199,0.0359979080445843,0.496971322655394,0.008,0.164166666666667
DKK3,-0.276505789393649,0.0224568292832855,0.433725036157573,0.0095,0.164166666666667
PRNP,-0.256406341911148,0.0348063291587144,0.496971322655394,0.0085,0.164166666666667
UCHL1,-0.253524084959716,0.0369725235874116,0.496971322655394,0.012,0.164166666666667
MAN1A1,-0.27207742109741,0.0247978275049679,0.435713937615768,0.0075,0.164166666666667
PCLO,-0.279922504587731,0.0207814199897681,0.428305137788598,0.008,0.164166666666667
NBEA,-0.255451952192131,0.0355115715178625,0.496971322655394,0.0105,0.164166666666667
PGM2L1,-0.25203523699805,0.0381347061852357,0.496971322655394,0.0075,0.164166666666667
THRB,-0.284484487444633,0.0187112765825455,0.428305137788598,0.0125,0.164166666666667
MYRIP,-0.247015147076019,0.0422792032455676,0.50144254780691,0.013,0.164166666666667
CALB2,-0.270913065640209,0.0254465627581412,0.435713937615768,0.008,0.164166666666667
SOBP,-0.240868877285549,0.0478534005013701,0.50144254780691,0.0125,0.164166666666667
TMEM132B,-0.270684012107645,0.0255758572048061,0.435713937615768,0.007,0.164166666666667
LRRC39,-0.280934157689889,0.0203062568308414,0.428305137788598,0.0105,0.164166666666667
NEAT1,0.281182299016833,0.0201911319262319,0.428305137788598,0.007,0.164166666666667
KIRREL3,-0.269767797977388,0.0260986013394216,0.435713937615768,0.0105,0.164166666666667
COL5A2,-0.233100144972749,0.0557481795302754,0.51052895348932,0.0125,0.164166666666667
GRM8,-0.250202808737537,0.0396065876297393,0.50016011301658,0.013,0.164166666666667
AMPH,-0.320331365290917,0.00774204115674735,0.359538258065117,0.009,0.164166666666667
CACNG3,-0.24317850040557,0.045691860416695,0.50144254780691,0.0125,0.164166666666667
LONRF2,-0.284942594509761,0.0185134899321465,0.428305137788598,0.0085,0.164166666666667
GULP1,-0.260262076375977,0.032075003190855,0.486059663738342,0.0125,0.164166666666667
COL11A1,-0.242281374069694,0.0465217208463587,0.50144254780691,0.013,0.164166666666667
ADCY1,0.260911061384909,0.0316334084597206,0.486059663738342,0.0125,0.164166666666667
LRRTM4,-0.305137480964164,0.0113986215624385,0.392142034400331,0.0095,0.164166666666667
SERPINI1,-0.298304050576001,0.0134808020167183,0.402381514741439,0.009,0.164166666666667
NDST3,-0.258066980022238,0.0336070686607675,0.494074069117253,0.011,0.164166666666667
CCDC136,0.278643622364248,0.0213956208359275,0.428305137788598,0.011,0.164166666666667
SPIN1,-0.245259069993028,0.0438141179571885,0.50144254780691,0.0105,0.164166666666667
ST6GALNAC5,-0.268355301193243,0.0269221625409226,0.441972168380145,0.0105,0.164166666666667
CBLN4,-0.300537322518501,0.0127668520329858,0.395555154226404,0.009,0.164166666666667
PJA2,-0.271180294761534,0.0252964180006514,0.435713937615768,0.0105,0.164166666666667
FXYD6,-0.242510427602258,0.0463086722695754,0.50144254780691,0.013,0.164166666666667
PAK3,-0.236039665307322,0.0526446907862098,0.507053392221021,0.0135,0.16621875
BLCAP,-0.278319129859782,0.021553896707522,0.428305137788598,0.0135,0.16621875
VIP,-0.296223480988544,0.0141766864934361,0.405256928233783,0.014,0.168170731707317
CTTNBP2,0.239780873005869,0.0489003584129471,0.505170106691265,0.014,0.168170731707317
SLIT2,0.263392474654354,0.0299916495418274,0.484291390142623,0.0145,0.172078313253012
CNTN3,-0.241632389060763,0.0471297394529328,0.50144254780691,0.0155,0.175111111111111
RIMBP2,-0.234207237046809,0.0545622980351101,0.51052895348932,0.016,0.175111111111111
TAC3,-0.251233549634075,0.0387729645043796,0.496971322655394,0.016,0.175111111111111
TMEM178B,-0.251653481110443,0.0384375416158881,0.496971322655394,0.016,0.175111111111111
CERS6,-0.238196586072301,0.0504584019770164,0.507053392221021,0.015,0.175111111111111
PDGFD,-0.223231755278112,0.0672718513304772,0.523619149777935,0.0155,0.175111111111111
ADAMTS19,-0.245430860142451,0.0436619630426831,0.50144254780691,0.0155,0.175111111111111
INPP4B,-0.22977886875057,0.0594322025827751,0.511100048622438,0.017,0.17813829787234
DOK6,-0.238788307698091,0.0498717937616299,0.506430070672221,0.0165,0.17813829787234
ABI1,-0.237089493998241,0.0515710956224473,0.507053392221021,0.017,0.17813829787234
SYT15,0.251138110662173,0.0388495348674775,0.496971322655394,0.017,0.17813829787234
CHRM3,-0.227411982247407,0.0621761535780803,0.518580459533151,0.0185,0.184065656565657
ADCY2,-0.216360149301188,0.0763731009016267,0.534210769345344,0.0185,0.184065656565657
TENM3,-0.217734470496573,0.074478422841091,0.534210769345344,0.0185,0.184065656565657
NELL1,-0.228595425498988,0.0607916465339627,0.516204929620287,0.018,0.184065656565657
CA8,-0.262438084935336,0.030614421298263,0.486059663738342,0.018,0.184065656565657
SHISA9,-0.23647868457807,0.0521935331293305,0.507053392221021,0.0195,0.18411214953271
RAB3C,-0.2170282221045,0.0754473353923642,0.534210769345344,0.02,0.18411214953271
CDH4,-0.254745703800058,0.0360410851795602,0.496971322655394,0.02,0.18411214953271
NXPH1,-0.223289018661253,0.0671998461444596,0.523619149777935,0.02,0.18411214953271
OSBPL1A,0.226323977967727,0.063471389295158,0.520994320464422,0.0195,0.18411214953271
FAM19A5,-0.242414988630357,0.0463973447724021,0.50144254780691,0.02,0.18411214953271
TLK1,-0.252646046418221,0.0376542937966413,0.496971322655394,0.0195,0.18411214953271
LANCL1,0.231573121422322,0.0574182147189436,0.51052895348932,0.02,0.18411214953271
OLFM3,-0.241766003621425,0.0470040281842811,0.50144254780691,0.0205,0.185252293577982
GIT2,0.225293237071189,0.0647184618761241,0.521825099946332,0.0205,0.185252293577982
TTTY14,0.248103151355699,0.0413507191796977,0.50144254780691,0.021,0.188045454545455
GRIA1,-0.241078843023733,0.0476534901212009,0.50144254780691,0.0215,0.189084821428571
HDAC9,-0.225617729575655,0.0643237524066296,0.521825099946332,0.0215,0.189084821428571
CAMK2D,-0.19973468039591,0.102464967998146,0.563843538984211,0.022,0.190087719298246
TMEM130,-0.223365369838774,0.0671039356504557,0.523619149777935,0.022,0.190087719298246
COL21A1,-0.22701113856542,0.0626508372430914,0.518580459533151,0.023,0.190378151260504
MPP6,-0.215482110759693,0.0776035609242266,0.534542010561981,0.023,0.190378151260504
CAMK2N1,-0.235562470447814,0.0531386866339493,0.507053392221021,0.0225,0.190378151260504
HECTD2,-0.211168269229735,0.0838797214412697,0.55450688335336,0.023,0.190378151260504
PCDH11Y,0.239437292707023,0.0492348530379304,0.505170106691265,0.0225,0.190378151260504
GNB1,-0.245201806609887,0.0438649333670144,0.50144254780691,0.0235,0.192895833333333
NPTXR,-0.235180714560207,0.0535366018182601,0.507053392221021,0.024,0.193770491803279
CTNNA2,-0.261292817272516,0.0313760345798486,0.486059663738342,0.024,0.193770491803279
CDH8,-0.220464025092962,0.0708267232960141,0.532552079744839,0.025,0.193897637795276
EGFR,0.208324187867064,0.0882325798431066,0.56165130072492,0.025,0.193897637795276
AK5,-0.229568903012386,0.0596715792807922,0.511100048622438,0.025,0.193897637795276
RUNX1T1,-0.221418414811979,0.0695842855080287,0.531321869964405,0.0245,0.193897637795276
SORBS2,-0.199887382750952,0.102197244831478,0.563843538984211,0.025,0.193897637795276
CALB1,-0.220654903036766,0.0705768242123898,0.532552079744839,0.0255,0.19623046875
CCK,-0.20198704013279,0.0985709534689883,0.563843538984211,0.028,0.19841726618705
PRR16,0.201204440563196,0.0999106519292857,0.563843538984211,0.0275,0.19841726618705
PTPRS,0.231115014357194,0.057927076287354,0.51052895348932,0.028,0.19841726618705
RNF150,-0.20309413220685,0.0966997550153106,0.563843538984211,0.028,0.19841726618705
OXCT1,-0.230828697441488,0.0582469700242738,0.51052895348932,0.028,0.19841726618705
MYCBP2,-0.227831913723775,0.0616819883560661,0.518580459533151,0.0265,0.19841726618705
MAP2,-0.243999275563925,0.044943337484214,0.50144254780691,0.028,0.19841726618705
TOX3,-0.189274569075482,0.122135720256283,0.572651364500976,0.0265,0.19841726618705
CAMKV,-0.216932783132599,0.0755790370086933,0.534210769345344,0.027,0.19841726618705
UNC13C,0.230542380525783,0.0585682961870996,0.51052895348932,0.026,0.19841726618705
ADGRB3,-0.199906470545333,0.102163817713626,0.563843538984211,0.028,0.19841726618705
GABRB1,-0.215978393413582,0.0769061596808811,0.534210769345344,0.0285,0.199095744680851
ESRRG,0.182135733977233,0.137133853938774,0.599973714754217,0.0285,0.199095744680851
ZEB2,0.236306894428647,0.0523696953955651,0.507053392221021,0.0295,0.204630281690141
HPCAL1,-0.192729459858324,0.115343079424895,0.572651364500976,0.03,0.206643356643357
NRG3,-0.216703729600035,0.0758958688890904,0.534210769345344,0.032,0.207368421052632
DLX1,-0.224930568977962,0.0651619160339075,0.521825099946332,0.031,0.207368421052632
EDIL3,0.211969956593709,0.0826839397829178,0.551615266354625,0.032,0.207368421052632
SPECC1,0.21758176814153,0.0746870713039301,0.534210769345344,0.032,0.207368421052632
GNG4,-0.200460016582363,0.101198124427405,0.563843538984211,0.032,0.207368421052632
PVALB,0.200211875255418,0.101630139219156,0.563843538984211,0.032,0.207368421052632
